01 : Crop and animal production; hunting and related service activities,"127,765","11,770","2,745","1,070",280,120,60,"143,810"
02 : Forestry and logging,"3,575",430,160,90,20,5,0,"4,280"
03 : Fishing and aquaculture,"3,630",320,140,20,5,0,0,"4,115"
05 : Mining of coal and lignite,10,5,0,5,5,5,0,30
06 : Extraction of crude petroleum and natural gas,80,20,10,10,15,10,20,165
07 : Mining of metal ores,0,5,0,0,0,0,0,5
08 : Other mining and quarrying,685,290,240,155,40,20,0,"1,430"
09 : Mining support service activities,245,35,30,30,30,10,20,400
10 : Manufacture of food products,"4,130","1,755","1,230",995,510,420,400,"9,440"
11 : Manufacture of beverages,"1,495",280,200,145,50,65,30,"2,265"
12 : Manufacture of tobacco products,0,0,0,5,0,0,0,5
13 : Manufacture of textiles,"2,710",765,455,320,115,75,20,"4,460"
14 : Manufacture of wearing apparel,"2,625",665,370,240,65,15,5,"3,985"
15 : Manufacture of leather and related products,415,140,85,45,20,10,5,720
16 : Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,"6,555","1,295",845,495,155,50,15,"9,410"
17 : Manufacture of paper and paper products,665,210,225,255,145,125,30,"1,655"
18 : Printing and reproduction of recorded media,"8,525","1,860","1,115",660,205,120,25,"12,510"
19 : Manufacture of coke and refined petroleum products,45,20,15,20,15,5,10,130
20 : Manufacture of chemicals and chemical products,"1,570",470,385,395,240,145,65,"3,270"
21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,410,65,40,45,30,40,50,680
22 : Manufacture of rubber and plastic products,"2,635","1,135","1,025",835,425,290,80,"6,425"
23 : Manufacture of other non-metallic mineral products,"2,730",855,610,450,195,130,35,"5,005"
24 : Manufacture of basic metals,"1,200",235,225,265,115,70,40,"2,150"
25 : Manufacture of fabricated metal products; except machinery and equipment,"17,335","4,295","3,220","2,295",755,315,65,"28,280"
26 : Manufacture of computer; electronic and optical products,"3,925",890,625,580,270,150,60,"6,500"
27 : Manufacture of electrical equipment,"1,590",495,435,445,195,130,50,"3,340"
28 : Manufacture of machinery and equipment n.e.c.,"4,400","1,375",955,900,390,250,100,"8,370"
29 : Manufacture of motor vehicles; trailers and semi-trailers,"2,155",450,285,255,170,140,100,"3,555"
30 : Manufacture of other transport equipment,"1,800",235,140,130,90,95,85,"2,575"
31 : Manufacture of furniture,"3,900","1,070",675,500,175,100,45,"6,465"
32 : Other manufacturing,"6,875","1,630",720,390,135,75,25,"9,850"
33 : Repair and installation of machinery and equipment,"11,930","1,415",915,515,180,115,60,"15,130"
35 : Electricity; gas; steam and air conditioning supply,"4,250",670,465,215,145,135,115,"5,995"
36 : Water collection; treatment and supply,375,165,130,140,55,30,35,930
37 : Sewerage,790,240,160,160,55,25,5,"1,435"
38 : Waste collection; treatment and disposal activities; materials recovery,"4,120","1,430","1,005",880,355,170,40,"8,000"
39 : Remediation activities and other waste management services,665,150,105,80,10,5,0,"1,015"
41 : Construction of buildings,"83,025","7,975","3,420","1,520",575,370,85,"96,970"
42 : Civil engineering,"20,485","2,680","1,330",975,395,260,100,"26,225"
43 : Specialised construction activities,"174,470","18,755","8,285","3,730","1,015",350,80,"206,685"
45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,"58,065","15,450","6,055","4,160","1,165",320,40,"85,255"
46 : Wholesale trade; except of motor vehicles and motorcycles,"76,345","21,685","13,990","7,730","2,250","1,020",340,"123,360"
47 : Retail trade; except of motor vehicles and motorcycles,"169,365","64,560","35,330","17,430","3,750","2,475","1,370","294,280"
49 : Land transport and transport via pipelines,"57,120","5,910","3,845","2,615",975,655,325,"71,445"
50 : Water transport,"1,070",195,130,80,25,20,5,"1,525"
51 : Air transport,620,125,100,70,40,50,50,"1,055"
52 : Warehousing and support activities for transportation,"18,470","4,115","2,685","1,970",890,565,310,"29,005"
53 : Postal and courier activities,"18,620","1,805",890,"1,045",710,350,110,"23,530"
55 : Accommodation,"8,825","3,450","3,475","3,635","1,375",685,140,"21,585"
56 : Food and beverage service activities,"74,000","44,920","29,635","18,545","2,705",795,145,"170,745"
58 : Publishing activities,"9,405","1,235",810,535,195,105,85,"12,370"
59 : Motion picture; video and television programme production; sound recording and music publishing activities,"24,325","1,180",705,575,235,75,35,"27,130"
60 : Programming and broadcasting activities,"1,715",160,130,125,35,30,20,"2,215"
61 : Telecommunications,"8,305","1,405",880,695,285,195,150,"11,915"
62 : Computer programming; consultancy and related activities,"148,335","6,705","4,215","2,710",960,470,220,"163,615"
63 : Information service activities,"6,750",775,455,240,85,50,45,"8,400"
64 : Financial service activities; except insurance and pension funding,"17,310","5,580","3,565","1,630",325,220,310,"28,940"
65 : Insurance; reinsurance and pension funding; except compulsory social security,"6,525",200,170,105,80,65,115,"7,260"
66 : Activities auxiliary to financial services and insurance activities,"28,085","4,560","2,295","1,350",595,395,280,"37,560"
68 : Real estate activities,"83,475","14,555","6,140","1,860",510,375,130,"107,045"
69 : Legal and accounting activities,"62,695","9,535","5,675","2,965",940,480,270,"82,560"
70 : Activities of head offices; management consultancy activities,"173,880","7,815","4,225","2,300",840,505,310,"189,875"
71 : Architectural and engineering activities; technical testing and analysis,"91,895","6,800","4,150","2,340",760,390,145,"106,480"
72 : Scientific research and development,"4,260",570,440,365,175,145,105,"6,060"
73 : Advertising and market research,"19,140","2,020","1,235",820,305,175,95,"23,790"
74 : Other professional; scientific and technical activities,"74,700","5,740","2,160",800,175,60,20,"83,655"
75 : Veterinary activities,"2,795","1,325","1,155",560,75,20,5,"5,935"
77 : Rental and leasing activities,"14,235","3,485","2,220","1,055",265,135,30,"21,425"
78 : Employment activities,"21,030","3,425","2,700","2,490","1,660","1,365",715,"33,385"
79 : Travel agency; tour operator and other reservation service and related activities,"7,180","2,625",975,470,175,95,35,"11,555"
80 : Security and investigation activities,"7,595","1,340",855,630,330,215,150,"11,115"
81 : Services to buildings and landscape activities,"46,185","9,655","4,890","2,585",880,520,330,"65,045"
82 : Office administrative; office support and other business support activities,"109,855","10,595","4,265","1,615",605,365,220,"127,520"
84 : Public administration and defence; compulsory social security,"10,375","2,880","3,125","3,335","1,710","1,535","1,200","24,160"
85 : Education,"32,875","8,800","9,040","14,430","8,495","4,565",915,"79,120"
86 : Human health activities,"49,880","12,075","10,555","7,510","2,025","1,285",875,"84,205"
87 : Residential care activities,"9,230","4,615","5,840","7,445","3,450",790,80,"31,450"
88 : Social work activities without accommodation,"27,575","13,415","12,280","8,065","2,295",955,230,"64,815"
90 : Creative; arts and entertainment activities,"27,240","1,525",690,330,175,90,20,"30,070"
91 : Libraries; archives; museums and other cultural activities,"2,780","1,270",855,650,215,115,35,"5,920"
92 : Gambling and betting activities,"4,580","5,735",440,415,105,80,15,"11,370"
93 : Sports activities and amusement and recreation activities,"20,845","5,565","4,280","3,305","1,220",560,135,"35,910"
94 : Activities of membership organisations,"17,655","4,785","2,405","1,340",380,205,80,"26,850"
95 : Repair of computers and personal and household goods,"7,910",870,395,205,70,45,15,"9,510"
96 : Other personal service activities,"58,950","16,185","4,905","1,335",205,100,25,"81,705"
97 : Activities of households as employers of domestic personnel,0,0,0,0,0,0,0,0
98 : Undifferentiated goods- and services-producing activities of private households for own use,0,0,0,0,0,0,0,0
99 : Activities of extraterritorial organisations and bodies,0,0,0,0,5,0,0,5
