SIC,mean,sd
46,0.00466873,0.00082755
70,-0.00091214,0.00641956
74,0.00284007,0.0028442
96,0.00405517,0.00039117
55,0.00838521,0.00047898
65,-0.10090221,0.00889046
68,0.00139212,0.00488749
58,0.00535881,0.00370919
1,0.00371807,0.00115585
14,0.00900247,0.00075685
36,0.00811115,0.00017403
94,0.00636265,0.00176235
82,0.00371807,0.00115585
85,0.01049059,0.00341013
93,0.0056517,0.00129651
91,0.00935984,0.00255815
56,0.01372149,0.00159743
92,0.01372149,0.00159743
69,0.00650212,0.00435941
47,0.00734093,0.00162437
66,0.00659781,0.00115337
77,0.00900247,0.00075685
6,0.01514252,0.01278843
88,0.00935984,0.00255815
18,0.00669664,0.00188477
64,0.00734093,0.00162437
72,0.00462332,0.00746718
22,0.00792209,0.00017074
17,0.01049059,0.00341013
49,0.00463985,0.00213575
32,0.00714627,0.00152153
50,0.00446002,0.00127624
21,0.00715663,0.00556301
52,0.00518554,0.0009137
35,0.00905055,0.00536842
87,0.00838521,0.00047898
81,0.00714627,0.00152153
11,0.00919088,0.00551233
84,0.00803551,0.00043281
51,0.00519966,0.00432706
41,0.00280665,0.00140345
24,0.00608926,0.00147297
19,0.00811115,0.00017403
20,0.00803551,0.00043281
86,0.01000283,0.00383658
28,0.0058476,0.00111955
60,0.00327338,0.00675976
29,0.00690171,0.00350727
8,0.00935984,0.00255815
15,0.00734093,0.00162437
63,0.00519304,0.00403615
13,0.00819692,0.00103903
16,0.00669664,0.00188477
26,0.00654434,0.00334308
62,-0.00091214,0.00641956
80,0.00747109,0.00595975
10,0.0107089,0.00051054
25,0.00512578,0.00094092
43,0.00320017,0.00159336
33,0.00468718,0.00322937
23,0.00994516,0.00669287
61,0.00766426,0.00674289
90,0.00284007,0.0028442
45,0.00405517,0.00039117
31,0.00761253,0.00083722
30,0.00615501,0.00665921
27,0.00803551,0.00043281
42,0.00553513,0.0021281
71,0.00236913,0.00459629
2,0.00612895,0.00216189
5,0.01324876,0.00824538
75,0.01372149,0.00159743
79,0.00892428,0.00093291
73,0.00480422,0.00580397
98,0.00466873,0.00082755
37,0.00994516,0.00669287
