Companies House,2,4,10,10+,,ONS,,,,,total,,,,,,
E06000001,722,471,756,515,,E06000001,325,240,540,680,1785,,3.25163822044821,2.85853719756964,2.6730209071289,2.87852179550121,2.71180722904119
E06000002,953,490,677,611,,E06000002,450,320,645,950,2365,,3.37383114507383,2.97909290063833,2.69019608002851,2.83058866868514,2.78604121024255
E06000003,930,554,813,587,,E06000003,440,300,715,1080,2535,,3.40397796366935,2.96848294855393,2.74350976472843,2.91009054559407,2.76863810124761
E06000004,1652,1028,1561,1293,,E06000004,895,575,1255,1580,4305,,3.63397315578967,3.21801004298436,3.01199311465926,3.19340290306242,3.11159852488039
E06000005,924,495,842,800,,E06000005,465,310,720,1145,2640,,3.42160392686983,2.96567197122011,2.69460519893357,2.92531209149965,2.90308998699194
E06000006,835,512,838,899,,E06000006,485,385,810,1095,2775,,3.44326298745869,2.9216864754836,2.70926996097583,2.92324401863028,2.95375969173323
E06000007,5408,2295,6741,2187,,E06000007,1220,920,1900,2375,6415,,3.80719666071095,3.73303668293358,3.36078268987328,3.82872432713879,3.33984878303764
E06000008,1767,896,1449,1296,,E06000008,690,485,1070,1555,3800,,3.57978359661681,3.24723654950676,2.95230800966212,3.16106838547117,3.11260500153457
E06000009,1832,909,1328,1165,,E06000009,490,365,845,1345,3045,,3.48358729696889,3.26292546933183,2.95856388322197,3.123198075032,3.06632592536204
E06000010,2045,1206,2082,2238,,E06000010,815,605,1300,2255,4975,,3.69679308508174,3.31069331234336,3.08134730780413,3.31848072517452,3.34986008219233
E06000011,2981,1906,3707,3661,,E06000011,1555,1280,3120,6155,12110,,4.08314414314305,3.47436197603263,3.28012289630231,3.56902258602956,3.56359972888153
E06000012,1325,767,1444,1771,,E06000012,575,430,1050,1820,3875,,3.58827170684233,3.12221587827283,2.88479536394898,3.15956719323362,3.24821856119007
E06000013,1186,719,1368,1549,,E06000013,685,485,1160,2340,4670,,3.66931688056611,3.07408468902824,2.85672889038288,3.1360860973841,3.19005141775921
E06000014,2001,1219,2224,2262,,E06000014,1035,785,1620,2625,6065,,3.78283080520259,3.30124708863621,3.08600370561838,3.34713478291002,3.35449260058944
E06000015,2975,1800,3045,2726,,E06000015,1080,805,1645,2260,5790,,3.76267856372744,3.47348697006457,3.25527250510331,3.48358729696889,3.43552585149865
E06000016,4460,2357,3553,3523,,E06000016,1660,1270,2255,3420,8605,,3.93475087466358,3.64933485871214,3.37235958252432,3.55059520748933,3.54691264318124
E06000017,355,224,426,410,,E06000017,245,190,445,835,1715,,3.23426412437879,2.55022835305509,2.35024801833416,2.62940959910272,2.61278385671974
E06000018,3448,1872,3343,4026,,E06000018,1235,945,1780,2935,6895,,3.83853427051187,3.53756725715268,3.27230584440209,3.52413637659257,3.60487377055264
