0111 : Growing of cereals (except rice); leguminous crops and oil seeds,18725
0112 : Growing of rice,0
0113 : Growing of vegetables and melons; roots and tubers,9295
0114 : Growing of sugar cane,0
0115 : Growing of tobacco,0
0116 : Growing of fibre crops,955
0119 : Growing of other non-perennial crops,935
0121 : Growing of grapes,65
0122 : Growing of tropical and subtropical fruits,5
0123 : Growing of citrus fruits,0
0124 : Growing of pome fruits and stone fruits,905
0125 : Growing of other tree and bush fruits and nuts,155
0126 : Growing of oleaginous fruits,0
0127 : Growing of beverage crops,0
0128 : Growing of spices; aromatic; drug and pharmaceutical crops,15
0129 : Growing of other perennial crops,90
0130 : Plant propagation,610
0141 : Raising of dairy cattle,14235
0142 : Raising of other cattle and buffaloes,6140
0143 : Raising of horses and other equines,18625
0144 : Raising of camels and camelids,35
0145 : Raising of sheep and goats,28325
0146 : Raising of swine/pigs,1550
0147 : Raising of poultry,3010
0149 : Raising of other animals,1380
0150 : Mixed farming,28770
0161 : Support activities for crop production,3850
0162 : Support activities for animal production,1780
0163 : Post-harvest crop activities,60
0164 : Seed processing for propagation,10
0170 : Hunting; trapping and related service activities,265
0210 : Silviculture and other forestry activities,2410
0220 : Logging,585
0230 : Gathering of wild growing non-wood products,5
0240 : Support services to forestry,1060
0311 : Marine fishing,3345
0312 : Freshwater fishing,170
0321 : Marine aquaculture,260
0322 : Freshwater aquaculture,170
0510 : Mining of hard coal,15
0520 : Mining of lignite,0
0610 : Extraction of crude petroleum,65
0620 : Extraction of natural gas,60
0710 : Mining of iron ores,0
0721 : Mining of uranium and thorium ores,0
0729 : Mining of other non-ferrous metal ores,5
0811 : Quarrying of ornamental and building stone; limestone; gypsum; chalk and slate,225
0812 : Operation of gravel and sand pits; mining of clays and kaolin,170
0891 : Mining of chemical and fertiliser minerals,0
0892 : Extraction of peat,15
0893 : Extraction of salt,5
0899 : Other mining and quarrying n.e.c.,260
0910 : Support activities for petroleum and natural gas extraction,210
0990 : Support activities for other mining and quarrying,135
1011 : Processing and preserving of meat,340
1012 : Processing and preserving of poultry meat,100
1013 : Production of meat and poultry meat products,555
1020 : Processing and preserving of fish; crustaceans and molluscs,305
1031 : Processing and preserving of potatoes,50
1032 : Manufacture of fruit and vegetable juice,70
1039 : Other processing and preserving of fruit and vegetables,490
1041 : Manufacture of oils and fats,55
1042 : Manufacture of margarine and similar edible fats,5
1051 : Operation of dairies and cheese making,365
1052 : Manufacture of ice cream,305
1061 : Manufacture of grain mill products,135
1062 : Manufacture of starches and starch products,5
1071 : Manufacture of bread; manufacture of fresh pastry goods and cakes,2495
1072 : Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,290
1073 : Manufacture of macaroni; noodles; couscous and similar farinaceous products,20
1081 : Manufacture of sugar,0
1082 : Manufacture of cocoa; chocolate and sugar confectionery,395
1083 : Processing of tea and coffee,80
1084 : Manufacture of condiments and seasonings,200
1085 : Manufacture of prepared meals and dishes,220
1086 : Manufacture of homogenised food preparations and dietetic food,140
1089 : Manufacture of other food products n.e.c.,755
1091 : Manufacture of prepared feeds for farm animals,270
1092 : Manufacture of prepared pet foods,185
1101 : Distilling; rectifying and blending of spirits,350
1102 : Manufacture of wine from grape,30
1103 : Manufacture of cider and other fruit wines,85
1104 : Manufacture of other non-distilled fermented beverages,0
1105 : Manufacture of beer,1250
1106 : Manufacture of malt,10
1107 : Manufacture of soft drinks; production of mineral waters and other bottled waters,295
1200 : Manufacture of tobacco products,5
1310 : Preparation and spinning of textile fibres,120
1320 : Weaving of textiles,230
1330 : Finishing of textiles,1060
1391 : Manufacture of knitted and crocheted fabrics,65
1392 : Manufacture of made-up textile articles; except apparel,2060
1393 : Manufacture of carpets and rugs,110
1394 : Manufacture of cordage; rope; twine and netting,80
1395 : Manufacture of non-wovens and articles made from non-wovens; except apparel,20
1396 : Manufacture of other technical and industrial textiles,205
1399 : Manufacture of other textiles n.e.c.,275
1411 : Manufacture of leather clothes,55
1412 : Manufacture of workwear,350
1413 : Manufacture of other outerwear,2055
1414 : Manufacture of underwear,155
1419 : Manufacture of other wearing apparel and accessories,1030
1420 : Manufacture of articles of fur,10
1431 : Manufacture of knitted and crocheted hosiery,40
1439 : Manufacture of other knitted and crocheted apparel,160
1511 : Tanning and dressing of leather; dressing and dyeing of fur,35
1512 : Manufacture of luggage; handbags and the like; saddlery and harness,385
1520 : Manufacture of footwear,190
1610 : Sawmilling and planing of wood,540
1621 : Manufacture of veneer sheets and wood-based panels,120
1622 : Manufacture of assembled parquet floors,10
1623 : Manufacture of other builders' carpentry and joinery,7000
1624 : Manufacture of wooden containers,405
1629 : Manufacture of other products of wood; manufacture of articles of cork; straw and plaiting materials,970
1711 : Manufacture of pulp,0
1712 : Manufacture of paper and paperboard,240
1721 : Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,415
1722 : Manufacture of household and sanitary goods and of toilet requisites,80
1723 : Manufacture of paper stationery,285
1724 : Manufacture of wallpaper,10
1729 : Manufacture of other articles of paper and paperboard,405
1811 : Printing of newspapers,30
1812 : Other printing,9345
1813 : Pre-press and pre-media services,1440
1814 : Binding and related services,305
1820 : Reproduction of recorded media,880
1910 : Manufacture of coke oven products,0
1920 : Manufacture of refined petroleum products,105
2011 : Manufacture of industrial gases,20
2012 : Manufacture of dyes and pigments,70
2013 : Manufacture of other inorganic basic chemicals,100
2014 : Manufacture of other organic basic chemicals,125
2015 : Manufacture of fertilisers and nitrogen compounds,60
2016 : Manufacture of plastics in primary forms,375
2017 : Manufacture of synthetic rubber in primary forms,0
2020 : Manufacture of pesticides and other agrochemical products,75
2030 : Manufacture of paints; varnishes and similar coatings; printing ink and mastics,395
2041 : Manufacture of soap and detergents; cleaning and polishing preparations,360
2042 : Manufacture of perfumes and toilet preparations,575
2051 : Manufacture of explosives,15
2052 : Manufacture of glues,75
2053 : Manufacture of essential oils,55
2059 : Manufacture of other chemical products n.e.c.,495
2060 : Manufacture of man-made fibres,10
2110 : Manufacture of basic pharmaceutical products,190
2120 : Manufacture of pharmaceutical preparations,425
2211 : Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,35
2219 : Manufacture of other rubber products,530
2221 : Manufacture of plastic plates; sheets; tubes and profiles,460
2222 : Manufacture of plastic packing goods,490
2223 : Manufacture of buildersÆ ware of plastic,1675
2229 : Manufacture of other plastic products,2570
2311 : Manufacture of flat glass,0
2312 : Shaping and processing of flat glass,445
2313 : Manufacture of hollow glass,45
2314 : Manufacture of glass fibres,40
2319 : Manufacture and processing of other glass; including technical glassware,235
2320 : Manufacture of refractory products,105
2331 : Manufacture of ceramic tiles and flags,60
2332 : Manufacture of bricks; tiles and construction products; in baked clay,125
2341 : Manufacture of ceramic household and ornamental articles,205
2342 : Manufacture of ceramic sanitary fixtures,10
2343 : Manufacture of ceramic insulators and insulating fittings,10
2344 : Manufacture of other technical ceramic products,5
2349 : Manufacture of other ceramic products,45
2351 : Manufacture of cement,10
2352 : Manufacture of lime and plaster,5
2361 : Manufacture of concrete products for construction purposes,550
2362 : Manufacture of plaster products for construction purposes,40
2363 : Manufacture of ready-mixed concrete,240
