la,"(1, 4)","(5, 40)","(41, 44)","(45, 46)","(46, 47)","(47, 48)","(49, 54)","(55, 57)","(58, 64)","(64, 67)","(68, 69)","(69, 76)","(77, 83)","(84, 85)","(85, 86)","(86, 88)","(90, 99)"
E09000001,107,2414,1653,162,1033,934,631,818,5050,8648,2487,10034,16675,36,496,620,3016
S12000033,149,1429,728,134,207,363,246,511,598,197,601,3944,2313,7,98,223,762
E06000056,106,872,1693,283,338,582,498,357,1600,244,564,2500,1436,12,238,412,1121
E07000077,89,398,664,100,194,259,204,207,505,194,324,1093,603,3,111,126,568
E09000023,17,493,1051,105,249,598,210,609,1777,219,686,1917,1197,21,385,1003,1988
E07000090,37,402,966,102,103,388,183,164,574,202,382,1139,515,5,86,278,583
E07000115,43,367,901,119,179,241,137,197,665,304,371,1331,963,3,115,267,778
E08000025,93,3951,4026,1208,2056,3508,2176,3358,4744,1268,3254,7269,12700,60,1445,4095,6765
E07000092,9,278,553,104,105,216,125,121,648,106,192,846,560,21,59,178,366
E07000098,32,432,1106,136,380,435,417,333,1582,386,1097,2185,1708,21,153,531,1336
E08000008,12,731,886,223,251,501,266,223,501,189,438,1125,817,16,153,306,671
E08000004,22,725,1042,234,316,540,441,347,473,173,409,1017,930,11,180,409,796
E06000026,37,419,1055,214,149,443,204,477,491,189,522,937,474,17,190,288,882
E09000008,37,932,2521,369,699,1672,507,1188,2730,502,1745,3686,2444,27,602,1556,4158
E09000015,39,887,3210,383,1202,1825,732,1071,4081,801,2847,5507,3722,29,572,1525,3370
E08000006,26,713,1015,190,534,699,473,380,1025,324,895,1896,1251,11,201,505,1663
S12000036,208,1435,1850,295,417,1076,656,1773,3139,1342,1947,5799,2988,19,460,758,2252
E07000136,118,149,178,82,72,143,211,82,73,28,114,176,160,,36,106,159
E09000028,39,1068,1149,134,618,910,360,999,3516,1217,1415,5452,2917,30,603,1313,2851
E09000033,304,3636,5336,325,2820,3146,1128,3368,10755,7503,10073,19126,15998,82,1207,1795,10147
E07000130,54,643,829,203,285,375,270,236,1130,163,393,1261,519,5,161,282,570
E09000011,17,504,1379,135,294,687,328,506,1785,249,679,2005,1426,24,417,1312,1665
E07000206,79,351,543,92,91,229,101,174,215,68,200,620,296,7,66,119,392
E07000096,26,436,907,119,253,321,282,270,2236,218,438,2212,1179,12,146,322,1156
E09000013,41,624,1019,98,530,836,228,806,2411,572,1439,3358,1731,8,387,661,3031
E07000148,82,564,672,153,199,341,141,351,660,230,460,1184,890,13,142,397,623
E07000146,232,370,752,141,128,308,148,211,252,84,268,579,344,10,56,171,398
E09000025,16,617,2192,183,642,1304,572,793,1964,302,957,1965,2688,20,494,975,1804
E08000027,35,1629,1715,399,466,752,491,371,784,347,654,1988,1188,24,218,557,978
E07000050,144,266,385,76,68,156,66,101,257,70,138,428,196,3,58,100,270
E08000035,119,2685,3793,841,1146,2006,1843,1684,3637,1364,2695,6603,3680,29,654,1981,3299
E07000047,65,126,156,43,41,108,32,94,140,35,108,273,106,4,35,63,204
E09000007,125,2436,4299,500,2334,3085,882,2321,10562,2606,5017,13583,10758,87,1131,1678,7763
E09000014,15,661,1333,130,510,1004,357,883,1935,308,1962,2344,1706,18,418,627,2557
E08000037,18,582,869,169,211,421,204,339,461,155,466,1055,592,7,162,308,664
N09000010,180,473,896,150,253,390,192,251,240,87,296,494,244,1,52,131,511
N09000006,146,342,575,95,115,194,89,126,89,54,432,244,161,4,40,77,194
E07000218,27,290,354,74,75,138,150,97,195,75,174,391,292,4,65,46,239
E09000020,33,649,838,98,451,877,161,629,1787,822,1820,3478,1594,12,289,557,2922
W06000023,209,429,537,100,124,259,120,290,280,62,180,604,349,7,78,91,439
E09000024,17,638,1773,196,522,985,393,600,3373,416,1095,3729,1985,14,323,1029,1947
E09000003,89,1729,4914,585,1978,2625,983,2236,5854,1608,7319,8566,7575,45,918,1959,6826
E07000107,13,343,1014,138,181,283,311,198,599,163,283,967,640,5,108,373,483
E06000030,40,466,1038,192,165,401,557,284,1244,216,375,1681,813,10,161,350,747
E07000213,7,307,607,87,154,203,1887,143,749,105,249,809,513,8,79,186,867
E09000030,39,1162,1360,210,970,1321,706,1458,4490,1732,1628,5669,3514,40,667,769,2600
E07000099,88,566,830,148,247,368,208,211,960,211,515,1631,845,13,163,302,1270
E08000036,54,961,1292,317,357,651,624,360,672,342,524,1856,844,9,205,425,712
E07000225,142,445,802,133,167,384,122,288,588,186,499,1303,653,4,120,183,926
E06000027,103,283,693,114,111,304,117,353,315,90,378,537,471,4,107,196,1009
E09000006,38,744,2425,224,436,832,284,689,2437,636,1428,3430,2340,27,441,886,2394
E09000022,27,627,982,101,343,774,274,952,2417,295,1242,2806,1702,23,464,758,2891
