la,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
E09000001,5,1,2,,1,16,8,3,8,11,2,,2,6,4,,2,12,1,8,10,2,1,2,9,9,3,6,2,,7,16,12,1,34,8,,5,3,,77,8,35,,23,103,140,,10,32,10,26,2,,24,136,,63,43,6,35,379,78,505,127,232,1,244,144,421,45,27,44,347,1,,22,143,16,11,11,495,,10,92,93,7,18,,62,6,6,27,97,4,152,,80,
S12000033,13,3,9,,,138,1,2,246,17,8,,3,7,1,4,6,6,2,10,,7,2,3,28,11,6,19,1,5,2,36,55,,13,4,2,5,4,,92,30,212,,54,89,227,,54,12,16,17,16,,52,202,,19,29,2,27,252,35,45,2,21,,222,68,486,740,26,18,601,4,,23,50,5,9,38,452,,5,55,126,7,21,,35,1,2,52,18,8,301,4,8,
E06000056,52,11,2,,,1,,1,1,19,6,,5,12,1,12,4,18,,4,3,23,4,6,69,24,13,24,7,15,19,63,90,1,15,4,5,16,4,,306,66,525,,160,156,328,,265,1,14,38,28,,31,159,,42,93,10,54,640,56,73,5,24,,224,149,491,146,23,43,401,14,,33,56,18,41,105,372,,7,174,261,23,68,,71,6,4,116,34,14,236,2,114,
E07000077,57,4,2,,,,,1,4,13,3,,6,7,2,2,2,15,,6,1,12,2,2,18,8,2,6,8,4,11,23,28,,11,1,2,7,3,,104,13,149,,56,81,152,,57,3,19,23,8,,15,62,,19,34,,12,199,23,47,7,15,,153,52,238,48,18,32,145,5,,14,28,6,13,45,167,,1,69,69,5,11,,27,4,2,41,12,3,112,2,67,
E09000023,8,1,2,,,3,,1,3,50,11,1,15,71,3,7,2,27,,6,2,2,,,12,4,6,5,1,3,16,32,50,,5,3,1,13,6,,255,66,415,,71,175,476,,95,5,6,25,33,,59,375,,107,338,11,29,829,105,81,6,43,,451,198,544,124,24,104,427,6,,13,112,44,70,100,548,,16,308,688,72,211,,286,7,3,96,87,17,492,5,505,
E07000090,10,3,6,,,1,,1,1,4,,,2,5,,6,3,10,,4,1,8,2,1,19,10,11,14,1,9,6,23,31,,3,3,,2,3,,86,15,218,,52,41,97,,48,4,4,15,14,,12,70,,14,19,2,33,189,16,33,5,15,,96,46,141,56,2,17,133,5,,11,19,5,6,26,135,,2,45,70,6,15,,20,,2,37,8,8,98,3,48,
E07000115,15,8,1,,,2,,1,2,12,2,,1,3,,8,4,18,,6,,7,1,3,22,4,7,6,,6,10,20,32,,4,2,2,8,4,,126,31,265,,69,98,146,,45,2,6,20,6,,20,91,,31,30,2,18,257,27,71,3,25,,154,80,270,51,8,38,172,8,,11,39,15,15,46,232,,3,72,124,13,14,,39,1,,63,19,8,143,1,75,
E08000025,32,10,4,,1,4,1,3,4,126,16,1,49,86,11,30,27,120,2,25,10,67,14,33,274,44,41,98,70,19,73,314,217,2,45,9,4,76,16,,530,162,1124,,699,1091,2167,,784,15,30,183,134,,179,1197,,138,247,22,130,1514,195,307,36,129,,1224,571,1082,403,63,180,1036,25,,125,302,141,147,232,1703,,26,974,2367,199,444,,305,7,14,275,183,68,1209,12,210,
E07000092,1,3,1,,,,1,1,,2,,,1,4,1,4,1,7,,,1,2,2,1,16,11,8,4,2,,3,18,22,,7,1,2,4,3,,78,16,181,,59,41,98,,32,2,10,13,7,,10,64,,15,23,3,22,280,17,16,3,9,,84,49,130,55,9,13,110,4,,6,31,13,24,41,126,,3,35,106,18,14,,18,3,1,36,13,8,78,1,46,
E07000098,15,2,,,,,,1,3,11,1,,5,18,1,5,1,11,,2,4,,,,10,6,5,3,4,4,8,33,28,,6,,3,13,2,,164,31,241,,56,147,215,,91,,8,11,12,,19,104,,26,63,4,23,350,54,74,11,28,,323,105,251,56,11,31,180,7,,10,54,23,23,39,276,,5,77,207,13,35,,45,4,1,62,31,6,182,4,126,
E08000008,6,,,,,,1,,,8,2,1,19,12,1,8,7,21,2,8,,15,6,3,67,14,13,26,1,6,12,56,80,,7,2,1,9,2,,94,30,316,,123,136,270,,117,3,4,25,11,,9,112,,14,36,4,14,196,26,49,6,17,,163,72,156,80,6,18,144,5,,27,20,19,19,35,277,,10,86,183,20,44,,35,3,5,57,9,15,199,,22,
E08000004,8,3,2,,,1,,1,3,18,3,,13,12,4,10,9,25,,8,1,14,3,9,79,11,10,25,3,6,24,59,55,,9,2,,23,7,,107,37,339,,130,159,330,,120,3,9,82,12,,11,162,,17,23,4,31,196,23,50,3,29,,184,75,182,81,,34,173,3,,28,31,24,39,41,291,,6,102,208,17,52,,41,1,1,65,19,8,234,,39,
E06000026,7,5,4,,,1,,2,3,15,4,1,7,10,1,4,1,11,,5,2,5,6,1,17,7,5,6,2,15,7,23,45,,18,,4,3,6,,131,19,330,,95,71,230,,82,13,4,14,20,,43,203,,24,31,7,17,167,22,49,5,23,,246,62,113,74,14,27,177,4,,6,17,6,19,41,142,,8,126,128,25,48,,36,6,,46,28,12,128,3,209,
E09000008,12,6,1,,,6,1,2,8,34,7,,15,57,5,9,7,31,2,8,5,6,6,2,21,15,10,10,3,9,12,68,89,,21,7,3,17,6,,497,84,802,,148,277,666,,149,8,12,49,57,,106,440,,95,194,12,53,1233,130,136,22,70,,670,330,667,212,21,100,512,8,,35,161,52,63,153,716,,23,373,1031,107,263,,169,,9,122,93,33,663,8,427,
E09000015,7,,2,,,2,1,3,3,31,3,,9,31,2,8,5,20,1,7,10,7,4,3,13,12,6,6,2,3,11,43,45,,15,3,,16,3,,478,95,704,,155,421,686,,260,5,11,51,33,,49,308,,65,126,5,58,1430,97,165,5,67,,768,457,638,139,30,68,447,4,,42,85,70,46,77,673,,15,273,571,68,96,,70,3,6,69,39,24,593,7,222,
E08000006,12,2,1,,,2,,1,4,20,8,,19,10,6,10,6,18,2,7,1,18,6,2,49,15,2,23,6,5,20,40,53,,16,1,,34,10,,141,56,383,,99,262,425,,195,2,13,66,23,,24,209,,31,79,13,33,342,53,93,16,41,,316,103,262,128,15,59,248,8,,35,62,17,42,57,371,,4,139,345,20,48,,62,2,4,77,38,8,279,1,47,
S12000036,33,18,7,,,25,,1,29,84,44,,13,43,5,3,4,46,,11,7,3,7,3,19,27,8,12,4,9,13,71,74,,41,6,1,15,7,,264,48,485,,130,202,639,,330,6,10,26,30,,161,687,,133,169,4,43,1468,149,252,29,117,,646,224,1074,295,69,96,926,16,,42,95,108,29,91,687,,10,291,366,21,111,,281,13,8,198,107,17,528,2,19,
E07000136,66,1,3,,,,,,1,10,4,,2,2,,5,2,2,,1,,4,2,1,17,,1,6,,2,,7,12,,3,,,5,,,33,12,56,,38,44,86,,137,2,,11,5,,13,38,,3,3,1,4,32,4,7,2,5,,58,12,25,10,,3,25,5,,3,34,3,5,15,38,,,27,72,1,8,,7,,2,12,5,3,45,,17,
E09000028,11,5,2,,,3,6,1,10,56,22,,15,72,2,8,11,54,,7,4,4,3,2,14,15,11,6,,7,32,48,39,,16,3,3,22,1,1,217,91,271,,70,256,580,,90,9,10,34,30,,80,492,,205,371,22,56,1033,149,196,7,68,,577,227,864,208,37,193,634,4,,30,170,74,53,118,741,,23,362,894,51,189,,372,15,4,138,169,22,608,10,332,
E09000033,25,4,2,,3,34,16,8,39,57,19,,22,110,15,3,9,30,5,17,14,7,5,11,14,18,12,16,10,7,11,66,14,2,74,7,,16,3,1,422,34,164,,76,532,1023,,78,38,30,48,12,,256,768,,232,643,36,75,984,239,880,23,268,,1692,273,1445,151,88,253,1072,9,,49,193,149,67,68,1525,,21,413,536,29,98,,470,21,23,190,257,14,985,5,773,
E07000130,16,8,1,,,,1,,1,23,3,,10,9,2,8,2,12,,6,7,6,5,5,37,18,13,14,5,5,23,32,57,1,8,2,1,8,3,,103,17,292,,125,141,211,,116,,3,49,18,,21,120,,24,22,2,18,239,20,52,3,20,,156,88,201,84,17,18,204,1,,18,18,11,13,32,163,,3,109,148,18,43,,34,6,1,84,17,3,146,1,36,
E09000011,11,1,2,,,2,1,2,2,46,4,1,16,43,4,5,7,41,,2,1,3,2,5,11,10,4,7,1,3,9,33,51,,11,6,2,7,2,,362,80,497,,94,188,492,,136,7,6,48,23,,37,308,,73,165,14,39,904,117,107,7,37,,355,214,619,112,16,66,366,2,,15,124,49,81,105,536,,20,286,916,65,172,,167,6,1,101,87,20,550,13,195,
E07000206,29,3,4,,,11,,,35,3,9,1,2,,1,4,1,10,,2,1,4,6,3,14,4,8,7,2,4,2,20,37,,1,,2,7,,,68,20,186,,51,44,115,,31,6,4,12,3,,27,73,,9,13,3,7,57,7,19,4,6,,90,28,87,68,2,11,111,8,,3,14,2,6,20,104,,3,43,39,8,12,,22,8,2,29,6,6,68,,38,
E07000096,15,3,2,,,1,,,3,14,6,2,4,9,,5,3,20,,5,2,2,4,3,18,11,9,13,2,7,12,29,38,,12,,,8,5,,168,25,313,,72,132,194,,147,3,4,31,17,,24,120,,40,85,7,44,551,42,64,9,26,,221,99,422,88,20,51,255,8,,15,80,22,25,60,270,,5,87,194,13,33,,61,1,1,69,24,7,169,4,124,
E09000013,6,10,3,,,4,3,4,4,38,8,,16,58,10,4,3,15,,1,9,3,4,2,12,5,9,5,1,,19,28,27,,14,1,2,7,,,214,22,211,,53,252,485,,76,3,15,17,7,,83,314,,102,339,24,25,570,104,176,4,52,,681,161,694,117,27,124,463,3,,22,87,58,25,58,511,,5,207,382,20,63,,171,8,10,112,51,12,428,4,587,
E07000148,9,1,1,,,3,,,11,13,3,,6,8,3,3,4,16,,1,,5,1,,19,7,7,6,3,3,8,27,29,,4,3,,3,3,,62,7,111,,59,94,167,,33,1,6,20,7,,25,136,,33,31,4,13,183,18,50,11,17,,141,35,144,44,9,42,122,3,,7,29,8,8,24,136,,5,85,215,24,31,,45,5,3,34,14,8,102,2,49,
E07000146,127,4,7,,,,,2,5,12,1,1,4,2,,7,3,11,,8,2,7,1,,26,5,7,18,2,1,9,25,50,,7,1,2,5,1,,125,23,209,,70,61,156,,64,4,2,16,2,,30,92,,14,17,2,14,96,11,18,2,9,,118,30,97,58,3,5,90,10,,12,16,6,7,25,108,,7,31,98,8,7,,20,5,3,26,16,2,75,1,57,
E09000025,8,2,1,,,3,3,1,6,52,10,1,27,62,6,2,6,26,1,5,4,1,2,4,14,10,6,2,4,,17,44,61,,26,1,1,13,4,,579,99,725,,126,413,960,,249,4,17,72,63,,47,464,,50,160,9,65,932,119,128,4,51,,493,316,495,94,16,72,280,2,,39,129,92,125,132,721,,15,349,734,53,186,,144,6,1,78,72,43,762,7,49,
E08000027,10,5,1,,1,,,,2,13,9,,10,13,,17,6,22,2,8,1,23,14,33,213,13,16,61,14,6,37,120,110,1,16,4,2,37,7,,181,51,559,,199,235,419,,185,2,5,41,36,,26,177,,29,28,4,29,318,30,79,14,36,,244,128,240,153,11,26,278,12,,33,48,14,29,65,325,,12,133,289,38,76,,47,8,7,85,31,19,225,,38,
E07000050,57,7,5,,,1,,1,1,12,2,,,4,,10,2,5,,5,1,3,1,1,14,7,11,6,1,3,8,23,20,,7,,2,3,,,55,4,80,,42,38,92,,28,1,5,4,2,,16,42,,15,18,2,14,110,16,25,2,7,,65,36,76,22,3,6,74,8,,10,8,4,10,19,53,,2,42,35,5,8,,21,3,,29,8,3,46,,50,
E08000035,41,16,5,,5,4,,7,8,75,21,,53,42,7,29,24,111,2,19,8,45,17,8,141,30,46,84,15,9,73,201,217,3,42,14,6,53,17,,528,122,1178,,448,541,1145,,421,8,34,115,87,,101,704,,110,187,27,95,1452,162,318,43,140,,1030,369,1166,300,51,206,913,18,,95,339,61,93,229,949,,19,421,1269,75,170,,222,10,8,280,96,51,755,12,248,
E07000047,50,2,2,,,,,1,1,4,5,,4,2,1,8,1,10,,1,,3,1,2,5,2,2,4,,3,2,14,13,,5,2,1,1,2,,46,7,52,,33,29,77,,17,2,1,1,3,,30,38,,14,14,1,9,56,6,10,3,4,,69,27,67,19,4,7,64,6,,5,6,5,2,10,48,,2,27,31,9,7,,17,2,,17,11,2,24,,46,
E09000007,10,3,4,,,9,,5,5,46,7,,10,61,11,3,7,29,,4,4,11,3,4,9,15,5,8,6,3,20,83,21,,16,4,,5,1,,200,20,164,,63,308,663,,65,16,17,19,22,,146,512,,209,512,33,46,807,185,274,13,73,,1123,252,785,203,70,206,731,3,,23,115,81,27,62,838,,15,327,430,10,134,,339,18,7,129,145,20,649,10,1009,
W06000004,23,9,3,,,,,,2,5,5,,2,4,1,5,1,4,,1,,7,9,,12,4,2,10,5,4,3,18,26,,11,1,1,9,2,,64,26,99,,51,47,97,,45,3,,10,3,,25,69,,7,16,4,9,81,9,20,,7,,71,30,56,29,4,7,82,7,,6,14,6,5,13,81,,2,42,54,11,18,,18,6,3,22,6,2,61,,8,
E09000014,3,5,1,,,,2,,4,47,13,2,26,91,8,7,6,31,1,5,3,4,3,1,14,9,4,5,,1,18,43,37,,17,,,9,,,356,52,375,,75,280,614,,146,4,5,33,36,,61,431,,100,368,15,35,673,101,91,3,40,,658,186,463,112,15,105,417,5,,25,72,51,48,118,558,,14,284,428,32,133,,289,8,7,102,62,14,579,11,593,
E08000037,7,1,1,,1,8,,1,4,16,6,,8,6,,7,5,22,,5,,13,8,7,58,4,12,21,4,4,13,49,66,1,16,2,1,9,2,,88,24,328,,90,134,249,,49,2,2,11,19,,18,188,,13,31,4,32,174,23,44,8,18,,191,59,177,94,6,24,169,4,,26,24,5,21,43,196,,6,106,108,12,33,,39,2,3,57,14,4,199,2,22,
N09000010,89,2,50,,,1,,17,1,37,10,,12,3,2,8,7,7,,2,2,12,7,5,33,1,10,12,3,4,20,42,37,,24,5,4,20,2,,336,44,274,,117,179,287,,140,6,2,14,2,,37,138,,10,29,7,16,107,17,29,5,13,,158,68,104,49,7,11,82,11,,28,6,6,3,27,82,,,44,78,12,17,,21,5,6,87,30,6,118,,42,
N09000006,75,7,1,,,,,10,2,19,4,,1,2,,11,1,2,1,1,,6,6,1,18,1,5,25,3,,2,18,20,,41,1,,11,1,,149,58,173,,62,86,141,,41,1,3,4,4,,21,55,,7,7,1,3,52,5,18,4,12,,189,37,47,29,3,6,37,5,,23,3,3,5,16,51,,3,29,48,11,19,,11,3,2,28,29,4,56,,9,
E07000218,17,3,2,,,,,1,2,7,4,,2,2,,6,2,1,,2,1,6,4,9,34,2,7,9,12,1,5,29,30,,10,3,,4,3,,62,20,163,,52,45,104,,97,2,2,9,4,,7,61,,6,13,2,11,103,7,31,2,8,,85,25,78,35,6,10,62,5,,19,19,7,19,28,101,,3,50,32,5,15,,11,4,,42,12,2,67,,19,
E09000020,15,3,1,,,7,1,9,3,37,9,3,16,76,12,1,2,11,,7,4,5,3,1,7,11,5,3,3,3,10,38,9,,14,4,,6,3,,153,18,114,,44,245,545,,32,4,8,17,4,,93,271,,116,240,6,24,374,100,259,5,67,,796,96,585,91,25,90,453,2,,14,63,60,15,32,513,,5,163,215,3,72,,208,12,4,87,60,6,427,5,639,
W06000023,112,32,1,,1,,,2,1,22,7,,7,9,1,14,2,3,,8,1,14,4,7,33,5,6,9,6,2,9,28,25,,14,3,3,6,1,,128,43,168,,70,80,167,,66,4,8,5,2,,78,110,,24,27,,10,124,18,15,3,16,,113,52,119,46,9,12,128,14,,11,5,19,16,34,120,,6,64,50,5,34,,58,9,1,81,33,4,56,,37,
E09000024,4,2,,,,6,,,3,36,5,1,8,27,4,12,3,23,,7,3,3,1,5,14,9,11,2,3,3,21,40,35,,17,2,2,10,1,,356,42,517,,98,196,436,,109,6,6,28,32,,38,268,,76,150,12,34,796,106,121,6,51,,456,251,653,119,19,95,376,4,,24,83,53,35,110,445,,7,172,517,35,91,,109,1,3,87,53,18,436,11,278,
E09000003,15,5,1,,,8,2,2,9,56,10,1,18,62,8,4,3,40,2,15,5,10,5,4,15,12,11,11,3,2,22,64,56,,20,2,,20,5,,690,68,776,,171,478,886,,259,10,16,55,35,,84,531,,149,294,17,88,1247,154,269,16,78,,1528,417,923,187,41,127,695,9,,65,146,95,66,143,953,,21,404,778,54,142,,236,11,7,148,124,20,864,3,570,
E07000107,6,2,,,,,,2,2,8,2,,5,12,,2,3,10,,3,6,5,2,,16,3,7,9,2,2,4,12,25,,16,4,,10,2,,105,34,271,,56,80,151,,106,2,2,31,14,,12,89,,24,18,3,27,286,34,47,3,18,,103,53,183,35,3,18,130,2,,8,41,12,19,47,212,,4,66,281,9,31,,13,1,1,31,20,6,142,,45,
E06000030,20,2,,,,,,1,2,12,5,,7,5,,6,2,21,,2,3,4,1,1,27,15,13,8,4,8,9,44,47,,13,1,1,8,1,,168,40,354,,106,86,244,,336,2,5,38,30,,21,134,,35,31,2,77,611,43,53,8,24,,146,75,312,104,11,22,213,8,,14,46,17,18,57,261,,5,97,229,23,31,,28,8,,71,19,6,188,4,46,
E07000213,4,,,,,4,,,3,4,,,2,2,,1,1,5,,1,2,8,2,1,11,4,4,6,,2,8,19,23,,4,1,1,11,7,,88,12,223,,50,75,125,,103,3,14,32,18,,20,70,,13,55,3,15,385,29,25,6,13,,127,43,173,56,2,16,134,7,,8,33,15,18,38,169,,3,48,142,8,13,,29,,,42,10,10,114,2,101,
E09000030,14,1,3,,,5,,2,5,47,12,1,27,93,13,4,5,44,3,7,4,6,5,2,11,13,7,5,5,2,15,45,33,,17,4,,9,1,,174,45,202,,104,489,721,,105,14,12,42,20,,69,555,,132,319,18,69,1294,183,258,17,103,,619,275,858,161,49,160,566,5,,41,118,113,36,63,823,,12,391,370,21,135,,316,11,2,107,91,13,587,3,120,
E07000099,33,4,1,,,1,,,,11,4,,1,9,1,4,1,18,,1,2,10,2,3,21,19,10,21,2,5,10,35,31,,1,1,1,3,3,,110,25,182,,72,106,195,,87,1,6,15,24,,19,92,,27,53,5,19,399,30,51,5,19,,191,61,311,71,20,37,248,4,,15,51,10,10,46,215,,6,105,172,14,42,,51,3,,70,25,3,112,2,97,
E08000036,30,7,1,,1,2,,1,4,16,8,1,15,14,2,18,2,33,,9,3,17,14,5,64,7,17,31,8,6,37,56,96,,11,9,1,15,4,,177,73,586,,214,169,400,,384,1,5,47,28,,34,221,,20,28,3,30,286,39,72,18,39,,286,93,282,120,6,33,231,9,,35,62,22,24,58,275,,5,134,321,22,52,,53,5,2,93,28,12,221,4,43,
E07000225,63,14,3,,,2,,2,3,16,11,,8,7,,11,7,13,,1,1,7,1,1,17,14,8,10,2,3,8,28,36,,11,3,1,5,4,,151,14,165,,77,68,210,,30,10,10,11,7,,49,99,,37,38,3,17,219,29,49,13,17,,212,62,277,70,11,34,204,7,,13,31,27,8,58,184,,1,66,87,13,17,,52,7,2,62,23,8,126,3,138,
E06000027,5,6,17,,,1,1,,2,9,1,,3,3,1,3,2,10,,2,,8,3,1,13,6,2,5,1,2,3,16,24,,1,,1,5,1,,87,20,171,,42,39,174,,32,8,2,3,11,,85,115,,27,16,4,16,108,24,26,4,14,,123,53,72,26,3,18,86,3,,11,20,5,20,30,82,,4,70,88,15,32,,17,5,1,55,5,,80,1,146,
