SIC,0-4,5-9,10-19,20-49,50-99,100-249,250+,Total
01 : Crop and animal production,124155,11480,2735,955,275,120,60,139780
02 : Forestry and logging,3480,385,125,60,5,5,0,4060
03 : Fishing and aquaculture,3565,245,110,10,5,0,5,3940
05 : Mining of coal and lignite,5,0,0,0,0,0,5,10
06 : Extraction of crude petroleum and natural gas,70,20,5,5,0,5,20,125
07 : Mining of metal ores,0,0,0,0,0,0,0,0
08 : Other mining and quarrying,365,110,80,80,20,20,5,680
09 : Mining support service activities,235,30,20,20,20,5,15,345
10 : Manufacture of food products,3820,1345,995,805,370,285,220,7840
11 : Manufacture of beverages,1470,250,130,90,25,35,25,2025
12 : Manufacture of tobacco products,0,0,0,0,0,0,0,0
13 : Manufacture of textiles,2600,730,405,290,100,65,25,4215
14 : Manufacture of wearing apparel,2570,635,345,220,60,10,5,3845
15 : Manufacture of leather and related products,395,90,50,40,20,10,5,610
16 : Manufacture of wood and of products of wood and cork,6430,1250,750,415,125,55,20,9045
17 : Manufacture of paper and paper products,630,190,200,195,110,75,35,1435
18 : Printing and reproduction of recorded media,8295,1775,1030,585,180,95,35,11995
19 : Manufacture of coke and refined petroleum products,45,15,10,15,10,5,10,110
20 : Manufacture of chemicals and chemical products,1455,395,310,290,175,110,70,2805
21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,400,55,30,30,20,35,40,610
22 : Manufacture of rubber and plastic products,2435,1035,885,725,345,240,95,5760
23 : Manufacture of other non-metallic mineral products,1960,700,450,310,125,75,50,3670
24 : Manufacture of basic metals,1165,220,185,215,95,55,35,1970
25 : Manufacture of fabricated metal products,16920,4060,2970,2030,675,285,80,27020
26 : Manufacture of computer,3810,830,540,480,215,135,65,6075
27 : Manufacture of electrical equipment,1525,445,390,375,170,100,50,3055
28 : Manufacture of machinery and equipment n.e.c.,4220,1255,815,780,315,210,95,7690
29 : Manufacture of motor vehicles,2090,415,245,190,130,110,90,3270
30 : Manufacture of other transport equipment,1745,205,105,95,55,50,55,2310
31 : Manufacture of furniture,3815,1035,635,445,160,95,40,6225
32 : Other manufacturing,6715,1575,650,320,125,70,25,9480
33 : Repair and installation of machinery and equipment,11680,1225,695,330,115,80,60,14185
35 : Electricity,4000,540,345,40,30,15,35,5005
36 : Water collection,50,10,0,15,5,5,20,105
37 : Sewerage,620,175,85,75,15,5,5,980
38 : Waste collection,3285,900,585,410,155,65,45,5445
39 : Remediation activities and other waste management services,640,125,85,55,10,5,0,920
41 : Construction of buildings,80480,6955,2815,1145,315,155,100,91965
42 : Civil engineering,20000,2430,1065,685,240,110,90,24620
43 : Specialised construction activities,173080,18125,7700,3170,820,275,110,203280
45 : Wholesale and retail trade and repair of motor vehicles and motorcycles,55595,12775,4055,1700,475,295,185,75080
