la,0-4,5-9,10-19,20-49,50-99,100-249,250+,Total
E06000001,1885,275,110,70,25,25,5,2395
E06000002,2420,370,200,135,30,30,20,3205
E06000003,2435,390,195,105,30,20,15,3190
E06000004,4250,595,320,195,80,35,20,5495
E06000005,2415,400,195,120,40,20,20,3210
E06000006,2695,445,225,175,70,30,20,3660
E06000007,6210,840,450,265,120,45,40,7970
E06000008,3425,565,345,190,70,35,20,4650
E06000009,2905,485,260,130,50,20,15,3865
E06000010,4005,965,560,305,125,65,35,6060
E06000011,10890,1925,930,415,120,50,30,14360
E06000012,3455,605,310,190,65,30,20,4675
E06000013,4100,665,330,200,65,30,20,5410
E06000014,5165,910,450,260,90,50,30,6955
E06000015,5630,840,435,280,95,50,35,7365
E06000016,9045,1460,765,465,145,50,50,11980
E06000017,1555,180,115,60,20,15,5,1950
E06000018,6475,1090,645,400,135,80,65,8890
E06000019,7950,1165,545,325,80,50,25,10140
E06000020,3730,595,310,190,85,45,30,4985
E06000021,4365,880,480,250,90,50,40,6155
E06000022,6335,955,515,255,60,45,40,8205
E06000023,13900,2030,1115,620,205,115,75,18060
E06000024,6940,960,480,275,70,40,25,8790
E06000025,8050,1055,535,315,100,45,40,10140
E06000026,4105,855,410,255,70,45,30,5770
E06000027,3005,605,260,145,30,25,15,4085
E06000028,4975,770,380,230,65,40,25,6485
E06000029,4800,700,365,185,70,45,25,6190
E06000030,5915,675,400,215,80,55,55,7395
E06000031,5370,730,370,255,80,55,40,6900
E06000032,8200,800,365,175,50,30,35,9655
E06000033,5620,735,330,175,50,25,25,6960
E06000034,5185,580,250,140,60,35,15,6265
E06000035,6720,910,445,205,70,50,25,8425
E06000036,3880,410,205,110,35,35,40,4715
E06000037,7170,885,460,275,90,55,40,8975
E06000038,5670,605,375,220,85,45,40,7040
E06000039,4850,505,285,180,75,65,40,6000
E06000040,7650,875,415,255,85,70,40,9390
E06000041,7045,740,410,200,80,40,40,8555
E06000042,10215,1070,575,365,135,95,75,12530
E06000043,10970,1430,695,380,105,50,35,13665
E06000044,4375,715,370,185,65,40,25,5775
E06000045,5165,775,405,215,75,45,30,6710
E06000046,3260,685,350,225,60,25,5,4610
E06000047,10355,1805,885,455,170,90,30,13790
E06000049,15810,2225,1035,615,175,110,65,20035
E06000050,10990,1555,780,435,135,80,55,14030
E06000051,12190,1960,870,410,115,70,35,15650
E06000052,17565,3275,1630,810,195,95,60,23630
E06000053,150,45,10,0,0,0,0,205
E06000054,20960,2485,1175,615,205,115,65,25620
E06000055,5560,735,350,180,75,35,25,6960
E06000056,12000,2235,890,350,120,40,40,15675
E06000057,8500,1565,720,350,100,30,25,11290
