la,"(0, 4)","(5, 40)","(41, 44)","(45, 46)","(46, 47)","(47, 48)","(49, 54)","(55, 57)","(58, 64)","(64, 67)","(68, 69)","(69, 76)","(77, 83)","(84, 85)","(85, 86)","(86, 89)","(90, 100)",Total
E06000001,65,235,345,75,75,310,105,220,70,40,80,635,210,35,80,200,195,2975
E06000002,15,260,400,125,160,510,120,305,145,90,150,820,380,25,115,345,270,4235
E06000003,140,290,435,140,105,430,155,325,85,55,60,805,310,35,110,285,280,4045
E06000004,90,450,760,220,230,650,255,440,255,135,175,1570,610,55,175,445,445,6960
E06000005,175,210,370,165,130,495,180,305,170,90,110,590,305,45,95,335,305,4075
E06000006,35,370,480,125,210,405,490,250,250,90,125,620,405,30,130,270,280,4565
E06000007,125,520,885,295,430,845,625,450,730,215,280,2030,925,60,250,590,560,9815
E06000008,80,500,405,230,355,780,210,355,195,175,190,610,470,90,165,460,335,5605
E06000009,15,230,550,155,160,750,275,630,185,95,140,430,355,45,100,370,365,4850
E06000010,25,750,865,320,375,1120,405,645,235,180,260,765,725,175,215,790,580,8430
E06000011,2045,1070,1845,475,590,1365,1295,1000,535,280,490,1970,1045,180,360,800,950,16295
E06000012,80,440,740,260,255,760,495,410,145,90,160,600,435,45,150,365,365,5795
E06000013,500,465,750,315,265,650,555,455,150,110,145,700,455,90,175,370,470,6620
E06000014,265,375,785,220,285,1065,255,845,565,230,355,1445,680,95,220,595,595,8875
E06000015,35,590,950,365,345,1055,545,640,580,230,290,1350,735,60,280,725,570,9345
E06000016,15,1335,810,485,780,1755,1020,865,790,785,505,1525,1035,85,340,1160,790,14080
E06000017,230,135,185,45,95,200,50,125,105,40,70,415,150,30,55,80,125,2135
E06000018,15,665,890,370,515,1420,465,830,675,505,525,1565,955,120,310,1015,730,11570
E06000019,2480,730,1090,345,455,955,290,585,435,135,340,1225,860,135,255,515,640,11470
E06000020,205,540,580,240,315,665,315,375,440,120,185,735,515,85,190,375,365,6245
E06000021,30,680,815,385,410,1080,585,530,280,170,175,650,620,80,205,620,560,7875
E06000022,330,405,1015,225,305,985,200,705,825,195,335,1865,735,65,275,560,655,9680
E06000023,45,995,2105,580,785,1965,1015,1470,2165,830,785,3980,2020,105,470,1420,1440,22175
E06000024,405,525,1225,355,370,875,485,560,755,305,330,1670,825,65,235,565,570,10120
E06000025,455,670,1685,405,430,920,700,600,1050,285,350,1920,1040,80,295,660,640,12185
E06000026,60,360,1030,295,260,985,255,750,305,170,315,910,570,70,255,660,500,7750
E06000027,105,215,680,170,175,695,145,585,205,80,205,475,380,25,135,370,355,5000
E06000028,25,295,1005,205,280,985,175,690,575,220,350,1090,690,30,210,600,540,7965
E06000029,25,530,1085,265,345,715,190,395,570,185,355,1010,600,35,135,430,455,7325
E06000030,120,390,995,300,295,810,635,555,995,205,265,1525,790,45,195,470,520,9110
E06000031,170,405,760,390,405,850,950,435,535,200,325,1005,705,65,215,540,445,8400
E06000032,5,395,970,260,325,775,710,380,665,145,300,1965,2665,30,200,610,400,10800
E06000033,25,405,1090,195,265,910,195,520,605,230,310,1185,720,25,170,510,525,7885
E06000034,45,365,1270,295,285,680,995,350,465,90,140,920,610,30,130,435,315,7420
E06000035,70,555,1790,335,380,920,545,625,590,180,255,1330,840,50,260,710,535,9970
E06000036,45,175,675,130,215,365,145,210,830,120,105,1055,590,20,140,280,340,5440
E06000037,345,585,1090,275,450,650,305,420,1215,200,330,2120,865,70,230,350,740,10240
E06000038,15,255,610,220,290,780,380,535,1535,265,235,1585,850,45,190,555,465,8810
E06000039,15,320,545,230,355,610,695,280,1230,135,155,945,590,20,120,415,295,6955
E06000040,85,395,840,210,455,750,240,525,1385,220,375,2550,1020,30,255,465,685,10485
E06000041,95,330,925,195,350,530,220,335,1805,155,225,2195,895,25,195,380,530,9385
E06000042,150,635,1230,380,640,1115,695,695,2380,355,440,2565,1370,75,320,935,800,14780
E06000043,50,470,1370,200,490,1925,195,1250,1985,285,590,2835,1435,80,405,955,1380,15900
E06000044,10,415,1035,235,265,860,255,740,425,125,235,890,700,55,175,490,550,7460
E06000045,15,450,1095,290,310,900,565,695,500,190,280,1105,745,50,220,690,545,8645
E06000046,315,340,590,145,175,670,155,655,225,85,205,600,470,70,145,350,450,5645
E06000047,1395,1150,1945,600,515,1800,825,1325,500,290,435,1830,1175,350,525,1215,1245,17120
E06000049,1475,1105,1885,635,990,1865,750,1155,1620,620,770,4410,2235,135,465,1125,1385,22625
E06000050,1030,760,1415,465,590,1675,600,920,1035,415,545,3245,1520,130,405,950,1070,16770
E06000051,3470,955,1710,550,770,1445,520,1085,670,265,570,2140,1175,185,410,865,1010,17795
E06000052,4350,1645,3280,835,915,3060,775,2745,830,375,870,2535,1760,335,625,1590,1595,28120
E06000053,45,10,20,0,0,25,30,55,5,0,5,5,10,5,5,10,15,245
E06000054,2235,1395,2740,795,900,2055,725,1410,1920,510,845,4895,2885,275,2355,1355,1680,28975
E06000055,250,400,860,380,375,660,380,460,585,155,275,1315,605,60,245,570,510,8085
E06000056,475,860,2060,440,565,905,685,655,1125,270,350,3000,3650,90,350,530,830,16840
E06000057,1980,785,1310,385,425,1315,405,1080,455,210,370,1600,935,170,345,785,880,13435
E07000004,725,585,1180,335,440,685,360,430,990,180,350,2060,1050,95,255,560,655,10935
E07000005,140,250,730,140,255,465,120,235,820,160,240,1740,540,30,170,295,470,6800
E07000006,80,200,560,125,205,370,170,255,625,130,435,1220,525,20,115,230,410,5675
E07000007,205,605,1170,295,510,805,290,435,1230,205,325,2230,930,50,275,490,715,10765
E07000008,110,220,360,80,180,700,90,580,815,140,225,1320,530,45,350,395,530,6670
