la,0-4,5-9,10-19,20-49,50-99,100-249,250+,,,,,,,,,,
E06000001,1689,161,85,60,18,16,25,,E06000001,1885,275,110,70,25,25,5,2395
E06000002,2580,229,128,88,32,19,21,,E06000002,2420,370,200,135,30,30,20,3205
E06000003,2312,184,110,81,25,12,37,,E06000003,2435,390,195,105,30,20,15,3190
E06000004,4495,420,233,145,49,33,54,,E06000004,4250,595,320,195,80,35,20,5495
E06000005,2353,191,169,79,23,22,30,,E06000005,2415,400,195,120,40,20,20,3210
E06000006,2615,226,105,103,51,21,37,,E06000006,2695,445,225,175,70,30,20,3660
E06000007,6256,489,310,198,68,37,57,,E06000007,6210,840,450,265,120,45,40,7970
E06000008,3694,387,217,170,57,26,50,,E06000008,3425,565,345,190,70,35,20,4650
E06000009,2388,219,154,103,30,26,54,,E06000009,2905,485,260,130,50,20,15,3865
E06000010,4454,436,233,177,60,49,74,,E06000010,4005,965,560,305,125,65,35,6060
E06000011,8442,742,450,319,89,54,107,,E06000011,10890,1925,930,415,120,50,30,14360
E06000012,3453,329,190,109,49,22,54,,E06000012,3455,605,310,190,65,30,20,4675
E06000013,3522,382,191,131,40,28,33,,E06000013,4100,665,330,200,65,30,20,5410
E06000014,4708,400,212,194,71,44,49,,E06000014,5165,910,450,260,90,50,30,6955
E06000015,5968,534,345,208,65,44,56,,E06000015,5630,840,435,280,95,50,35,7365
E06000016,8764,900,579,375,112,60,95,,E06000016,9045,1460,765,465,145,50,50,11980
E06000017,1313,117,61,49,9,7,22,,E06000017,1555,180,115,60,20,15,5,1950
E06000018,6609,624,394,285,81,58,86,,E06000018,6475,1090,645,400,135,80,65,8890
E06000019,4778,474,273,159,61,39,99,,E06000019,7950,1165,545,325,80,50,25,10140
E06000020,3851,366,207,145,40,36,71,,E06000020,3730,595,310,190,85,45,30,4985
E06000021,5028,498,296,212,79,37,70,,E06000021,4365,880,480,250,90,50,40,6155
E06000022,6228,474,306,187,60,42,74,,E06000022,6335,955,515,255,60,45,40,8205
E06000023,15182,1233,800,441,173,102,162,,E06000023,13900,2030,1115,620,205,115,75,18060
E06000024,6517,558,317,184,68,42,82,,E06000024,6940,960,480,275,70,40,25,8790
E06000025,7400,611,351,250,81,60,88,,E06000025,8050,1055,535,315,100,45,40,10140
