la,0-4,5-9,10-19,20-49,50-99,100-249,250+
E09000001,5836,449,287,158,67,50,70
S12000033,6620,523,292,161,64,44,89
E06000056,8103,667,366,268,77,56,84
E07000077,3235,263,156,100,43,29,35
E09000023,11079,992,610,390,100,60,114
E07000090,2633,242,133,82,22,22,35
E07000115,3911,329,190,118,37,19,46
E08000025,29990,2983,1838,1274,411,251,375
E07000092,2632,180,148,79,19,18,12
E07000098,4839,420,221,169,57,29,36
E08000008,4298,410,250,163,51,28,57
E08000004,4929,468,306,177,61,51,46
E06000026,4141,396,239,141,37,30,58
E09000008,14795,1328,809,543,155,112,151
E09000015,13109,1181,656,450,128,79,88
E08000006,6610,642,438,263,88,56,56
S12000036,14718,1152,683,454,165,88,161
E07000136,1307,112,65,49,18,9,19
E09000028,13858,1208,793,478,161,109,151
E09000033,21670,1878,999,651,257,172,208
E07000130,4152,413,232,145,60,30,62
E09000011,10869,972,583,392,120,67,95
E07000206,2149,154,112,84,21,28,28
E07000096,5712,448,270,177,56,36,37
E09000013,10103,823,498,322,113,61,81
E07000148,3053,308,163,116,32,26,40
E07000146,2739,228,114,89,44,19,40
E09000025,13080,1163,711,475,147,98,112
E08000027,7068,666,424,211,60,58,112
E07000050,1738,156,71,62,21,16,14
E08000035,21883,1950,1197,770,315,149,221
E07000047,1320,121,57,43,21,12,21
E09000007,14832,1212,676,438,158,112,154
W06000004,1765,182,81,68,32,9,23
E09000014,11243,1038,649,379,105,74,93
E08000037,4102,390,235,161,32,39,56
N09000010,3848,393,242,128,54,30,72
N09000006,2200,215,95,89,21,11,39
E07000218,2060,196,117,75,21,11,26
E09000020,9283,754,411,270,88,51,91
W06000023,3099,291,155,105,25,29,74
E09000024,9793,870,494,315,86,56,71
E09000003,18421,1558,897,610,182,127,149
E07000107,3579,329,193,159,29,32,32
E06000030,5602,503,287,176,70,32,47
E07000213,3375,305,162,98,36,18,35
E09000030,13473,1092,715,470,127,86,107
E07000099,4457,389,204,165,46,30,30
E08000036,6844,631,438,235,84,42,82
E07000225,4036,323,214,140,35,33,43
E06000027,2522,254,156,109,35,35,46
E09000006,12597,1055,613,336,123,56,98
E09000022,13494,1206,684,438,131,95,140
E09000026,14170,1248,666,471,163,120,127
E06000046,2795,267,176,116,37,29,39
S12000015,6062,532,334,229,82,37,71
E06000049,13561,1058,721,432,149,99,128
E08000024,4466,420,232,162,50,36,53
E07000114,2639,212,145,88,29,14,36
E09000018,12472,1051,659,378,114,78,84
E06000023,15182,1233,800,441,173,102,162
W06000003,2105,204,147,98,28,18,53
E06000011,8442,742,450,319,89,54,107
E07000125,1990,196,110,71,18,22,21
E07000215,3673,312,161,99,43,29,19
E07000076,2681,239,154,106,28,12,44
E06000034,5027,464,281,196,65,42,33
S12000041,2388,257,124,92,39,9,40
E07000181,3628,326,193,105,42,23,30
E06000045,5376,562,277,205,70,22,56
E07000228,5014,432,219,170,49,28,64
E09000029,7190,571,347,224,91,49,46
E07000012,5569,488,277,175,67,32,61
E06000040,7147,588,337,204,62,44,54
E07000129,2646,211,148,82,37,9,18
E07000156,2297,230,106,82,30,14,47
E08000003,16874,1723,996,691,208,135,187
E08000012,10234,905,557,380,124,85,96
E06000009,2388,219,154,103,30,26,54
E06000018,6609,624,394,285,81,58,86
E07000040,3406,256,148,117,71,19,53
E07000008,3730,294,184,130,57,25,51
E06000004,4495,420,233,145,49,33,54
E06000025,7400,611,351,250,81,60,88
E07000068,2844,214,123,91,25,12,14
E06000022,6228,474,306,187,60,42,74
E07000240,6426,489,331,172,64,44,42
E09000016,7475,698,407,280,93,57,60
E07000007,7380,618,347,233,77,54,71
E07000043,1976,163,98,68,18,19,32
E06000035,6477,600,333,219,64,49,42
S12000020,1467,151,82,49,18,14,28
E06000043,9419,751,432,298,92,51,113
E09000027,10257,810,422,320,77,58,75
E08000016,4083,413,257,148,77,36,51
E07000044,2786,214,147,88,36,26,36
E07000168,1906,183,138,57,33,16,40
E07000192,2543,214,144,107,30,11,29
E07000209,5843,491,295,172,72,32,50
E07000037,2473,236,148,98,35,22,33
E07000217,4057,330,187,121,53,32,51
E07000073,2298,183,130,82,22,21,32
E08000009,8611,694,475,329,100,42,88
E07000227,4769,383,189,149,64,23,43
E09000009,16043,1407,877,560,155,112,140
E06000020,3851,366,207,145,40,36,71
E07000207,6959,499,320,201,75,44,62
E07000222,5446,435,267,161,62,40,54
W06000022,3280,273,172,114,35,29,29
E06000047,8929,866,482,322,103,75,106
E07000031,3918,358,211,155,47,39,93
E06000041,6886,519,312,190,49,49,46
E08000030,6052,586,358,271,91,46,79
S12000046,13673,1211,792,553,137,100,162
E08000021,6809,593,399,218,100,54,74
E07000147,2107,208,130,57,26,21,43
E07000223,1342,112,82,42,16,8,12
E07000212,2896,236,148,112,25,21,16
E07000200,2297,193,112,84,22,18,25
E06000028,5195,436,282,201,72,39,67
E07000172,2332,211,117,49,29,15,32
E07000195,2800,240,147,114,30,15,33
E07000171,2739,253,163,74,35,28,32
E07000049,2756,268,133,96,21,23,36
E06000007,6256,489,310,198,68,37,57
E07000242,5076,378,257,198,42,33,50
E09000012,13161,1127,638,404,120,75,117
E06000050,9725,714,503,296,99,62,82
E06000014,4708,400,212,194,71,44,49
E06000051,8549,725,454,291,99,53,125
E09000032,14909,1288,735,401,175,91,140
E06000037,5791,448,261,194,65,39,51
E07000005,4747,368,230,138,49,23,46
E09000019,11986,968,586,380,118,61,152
S12000039,1271,134,72,43,11,9,15
E07000150,1926,170,113,67,25,15,22
E07000190,2437,208,154,88,33,21,46
E08000018,5311,464,338,211,67,46,74
E07000028,2114,169,125,85,21,12,26
E07000103,4102,352,236,133,44,28,39
E07000119,2154,182,88,70,21,11,21
E06000031,5111,489,268,205,61,36,39
E07000087,3157,296,155,125,47,22,39
S12000034,8443,641,378,244,92,50,100
E08000026,8558,757,452,303,123,51,77
E07000065,4757,407,251,138,50,32,53
E09000010,11536,1044,676,386,121,71,85
E07000011,5129,421,284,172,47,40,62
E08000005,4855,485,278,152,70,44,62
E06000024,6517,558,317,184,68,42,82
E07000069,1639,131,89,56,22,14,11
E07000029,1439,127,86,37,15,9,21
E06000052,11594,1065,666,457,128,114,233
E07000111,4814,431,207,134,33,19,44
E07000067,3957,366,204,127,49,19,42
E08000029,6839,588,352,205,71,47,47
E07000153,2805,250,144,82,30,21,28
W06000015,12733,1096,632,380,133,79,93
E07000071,4726,464,260,151,54,28,44
W06000005,3372,287,184,120,49,23,36
E06000016,8764,900,579,375,112,60,95
E06000039,6043,533,340,194,79,42,62
N09000005,2532,242,140,88,37,18,37
E08000032,12563,1122,800,477,149,96,161
E07000154,6892,638,393,268,105,51,56
E07000113,3256,301,175,110,23,21,37
E07000143,2517,296,151,102,32,19,43
E07000038,2403,196,107,102,32,11,32
E07000080,2258,194,141,68,30,7,30
E06000054,14077,1171,672,454,154,105,141
E07000036,2401,211,121,77,33,14,23
E06000021,5028,498,296,212,79,37,70
E07000191,743,57,39,32,11,7,22
W06000016,4064,407,239,173,53,30,50
E06000055,5111,421,299,172,70,33,43
W06000002,2287,222,123,105,37,30,57
E08000022,4316,383,217,135,43,35,40
E07000078,3992,324,190,133,47,23,56
E07000122,2079,217,117,93,36,18,30
E07000141,3725,315,182,138,53,28,53
E07000110,4971,424,259,175,67,28,39
E08000034,11380,1031,642,415,141,91,114
E06000042,10865,866,509,378,130,86,93
E09000004,7895,694,450,257,99,65,81
S12000005,791,74,37,33,15,4,9
E07000226,2727,242,123,100,18,26,30
E06000033,4211,422,224,165,44,30,42
E07000086,3827,320,191,128,37,22,29
E07000202,2933,243,161,120,28,16,32
E07000234,3476,284,154,125,39,21,29
E08000015,6536,595,343,240,84,56,64
E08000007,9027,810,471,308,109,71,68
E06000036,3742,284,168,134,50,25,23
E07000205,3530,326,193,109,53,32,60
E07000127,3039,282,168,95,37,21,47
E07000219,2814,259,183,95,29,23,29
E07000221,5168,441,246,169,64,25,71
E07000165,5831,474,254,205,78,32,78
N09000011,2340,214,140,71,29,15,19
E08000033,5847,550,334,218,67,35,81
S12000024,3204,271,184,110,40,22,54
E08000001,7298,711,468,287,64,43,89
E07000123,3592,359,197,142,56,33,36
E07000214,3644,260,168,142,35,28,35
S12000017,5461,488,271,222,75,50,128
E06000057,6727,634,373,235,95,62,85
E07000216,5656,417,215,165,57,36,51
E07000193,3173,264,170,118,46,15,44
E07000102,3992,313,165,112,42,26,37
E06000008,3694,387,217,170,57,26,50
E08000017,6461,592,336,250,82,47,79
E06000015,5968,534,345,208,65,44,56
E08000019,12468,1222,733,508,172,124,161
E07000177,4291,376,198,114,47,33,49
E07000004,6820,546,301,184,102,37,74
E07000187,3214,270,179,110,29,28,39
E07000138,1903,187,106,74,19,11,15
E07000006,3718,292,173,100,42,21,28
E07000179,5506,431,280,190,57,36,50
E07000034,2487,232,145,117,43,14,30
E07000063,2819,233,138,77,42,26,42
E07000198,2391,175,127,88,33,26,28
E07000237,2335,242,130,86,22,9,25
E08000028,7158,697,461,281,86,67,88
E07000167,1414,116,72,57,29,11,35
E07000211,5307,397,266,175,60,32,56
E07000201,1383,124,62,57,11,12,9
E07000072,5139,432,254,158,56,44,25
E07000149,3306,299,177,107,32,25,42
E07000112,2569,214,114,92,25,28,21
E08000002,5084,461,296,187,43,37,42
E07000074,1936,179,86,62,23,14,16
W06000012,2147,215,118,79,29,14,30
E07000128,2336,176,118,88,25,18,32
E06000019,4778,474,273,159,61,39,99
S12000038,3241,322,166,117,44,19,49
E09000005,14669,1309,774,452,177,106,125
E07000194,3754,305,200,121,40,29,37
E07000082,4111,366,176,145,46,26,56
E07000027,1780,154,75,42,11,11,16
W06000011,4891,505,273,198,72,29,72
E06000044,4312,365,228,161,71,35,49
E08000031,6174,637,403,263,86,44,70
E07000010,1819,203,100,65,15,11,21
E07000032,2938,250,161,100,36,25,33
E07000178,3897,350,194,120,67,28,42
E06000038,5857,453,273,194,79,32,51
S12000006,1957,182,114,77,25,22,29
E07000236,2216,208,134,81,21,21,40
E07000039,2514,212,121,92,29,14,29
E07000131,3165,282,151,99,22,19,35
E07000170,1846,180,125,77,23,15,30
E07000189,3709,294,222,135,42,25,56
E07000210,4005,302,190,117,35,22,32
E07000084,5885,473,266,170,54,44,54
E07000134,2854,253,135,98,35,28,44
E07000079,3549,251,194,120,40,16,47
E06000010,4454,436,233,177,60,49,74
E07000094,4839,422,221,130,37,42,47
E07000126,2527,247,121,110,29,15,35
E07000176,3294,275,168,120,32,32,29
E06000013,3522,382,191,131,40,28,33
W06000013,2770,250,144,110,29,22,39
E07000045,3095,295,156,116,50,28,43
E07000124,2140,191,138,84,25,21,28
E06000002,2580,229,128,88,32,19,21
E07000035,2657,230,135,102,42,30,51
E09000031,10325,972,572,343,121,49,84
E06000012,3453,329,190,109,49,22,54
E07000033,1351,133,70,44,15,9,18
E07000041,2633,214,156,105,35,30,32
E07000175,2891,273,172,103,25,26,32
W06000009,2681,264,180,93,40,29,42
E09000002,8460,870,561,350,91,77,78
E06000005,2353,191,169,79,23,22,30
W06000001,1100,99,65,49,15,14,29
E07000117,2070,176,133,71,32,19,33
E08000013,3452,277,179,120,43,18,56
W06000008,1528,125,106,57,16,11,26
E07000220,3388,294,159,123,42,18,32
E08000010,6624,588,373,239,62,40,65
E07000042,1713,159,79,62,33,15,26
E07000075,1968,175,91,43,16,11,22
E06000029,4228,355,214,131,64,30,35
E07000139,2648,198,127,89,19,19,30
E07000062,1754,162,81,54,22,21,26
S12000044,4901,474,274,147,62,25,53
E09000017,11683,1055,546,436,140,72,85
E08000023,2877,263,168,106,39,12,42
E07000203,2672,218,135,91,32,19,35
E09000021,7166,602,345,172,68,37,49
E08000014,5895,506,320,225,89,36,60
E07000093,4142,322,190,121,42,36,26
E07000174,1807,162,82,70,22,9,22
S12000029,5941,567,305,207,64,32,68
E07000145,1764,159,103,68,19,16,36
E07000091,5205,503,282,165,61,39,64
E07000081,2780,243,152,78,40,28,25
E07000085,4258,368,222,138,49,30,53
N09000001,1755,137,82,47,16,9,30
E07000137,2846,256,184,95,40,22,44
S12000045,2294,173,121,84,25,8,23
E07000204,2634,235,135,85,42,14,29
E07000052,2576,235,144,79,47,12,35
E07000121,3071,282,155,121,26,25,53
E07000229,2350,221,130,92,35,22,25
S12000028,1920,176,98,65,43,15,30
E07000108,2219,168,131,71,35,18,14
W06000021,2774,230,144,93,25,15,43
E07000064,2255,218,116,79,22,22,32
E07000070,5045,407,288,173,50,25,40
E07000066,4600,407,261,170,44,50,47
S12000010,2168,191,103,84,26,23,18
E07000238,4277,326,222,131,33,33,47
E07000120,1590,182,107,67,15,16,25
E07000208,3038,201,128,79,37,18,32
E07000109,2951,306,191,109,42,19,25
E07000106,3439,287,163,140,39,26,43
W06000010,3630,329,198,137,64,30,62
E06000032,6151,585,387,244,78,47,58
S12000014,2570,233,144,84,33,11,21
N09000003,6154,602,369,249,82,61,60
E07000095,2851,260,158,107,30,19,35
E07000116,4337,413,207,141,46,32,30
N09000009,2938,266,204,124,37,16,51
E07000151,2980,247,149,120,33,26,36
S12000042,2340,237,135,84,35,11,19
E07000241,4058,348,221,123,32,39,29
W06000014,3423,292,170,98,37,25,32
E07000243,2325,194,144,103,37,19,22
E07000053,1013,92,62,37,14,16,21
E07000135,1534,148,85,50,9,12,25
E07000009,2515,222,120,85,23,21,26
E07000118,3036,264,169,93,29,9,36
E07000235,2807,232,117,88,28,33,37
W06000006,2464,233,140,107,26,18,32
E07000224,3278,256,159,113,53,33,35
E07000132,2931,273,170,98,25,16,50
E07000188,2490,222,130,88,23,19,32
E07000061,1948,168,85,77,22,9,23
E07000239,2319,182,127,84,36,12,21
E07000051,1153,105,65,36,9,9,12
E07000083,2977,240,145,91,51,18,39
S12000040,3609,330,172,112,26,26,33
E07000152,2567,203,121,92,28,14,26
S12000021,1895,152,89,74,18,19,39
E07000105,3799,334,205,154,36,19,43
W06000018,2842,280,147,106,43,22,51
E07000089,3875,322,159,102,50,19,28
E06000006,2615,226,105,103,51,21,37
E07000196,3119,261,163,88,33,26,42
E07000048,1339,114,71,49,15,18,11
S12000030,2639,221,124,93,28,22,32
E07000180,4057,348,205,110,37,18,42
E07000133,1279,110,72,57,12,5,15
E06000017,1313,117,61,49,9,7,22
S12000026,2550,221,135,89,28,11,26
E07000088,1346,121,89,47,18,14,21
W06000020,1470,113,85,64,29,8,21
E07000144,3040,236,163,106,29,16,35
E07000199,1776,155,99,74,21,14,22
S12000019,1717,168,77,53,8,16,12
E07000142,2405,217,134,75,30,15,30
E07000164,2735,205,142,110,30,15,43
E07000140,1990,175,91,78,19,4,12
S12000008,1729,180,79,51,25,8,18
E07000163,1874,165,100,64,35,9,36
E06000001,1689,161,85,60,18,16,25
E07000169,2426,205,123,82,26,16,22
S12000018,1229,85,68,49,9,9,18
E06000003,2312,184,110,81,25,12,37
E07000026,2217,186,120,74,21,28,44
E07000173,2275,205,130,84,21,16,26
E07000155,3189,267,127,81,35,18,28
N09000007,2419,229,141,78,35,15,26
E07000046,1209,131,65,37,15,16,11
N09000008,1675,148,86,65,29,9,12
E07000166,1408,133,75,42,14,18,26
E07000197,3949,357,224,109,37,25,32
N09000004,2017,203,121,85,33,9,21
E07000030,1551,117,106,60,11,9,29
E08000011,2487,250,135,84,29,15,26
S12000011,2200,179,112,68,29,11,16
N09000002,3323,345,211,141,40,30,42
W06000019,732,60,43,22,9,5,16
S12000013,603,43,29,25,7,8,14
E06000053,68,4,2,1,0,0,2
S12000035,1794,149,84,74,21,14,53
W06000024,957,96,54,40,14,11,7
S12000023,520,42,14,12,14,5,8
S12000027,798,54,37,14,5,8,15
M99999999,23,1,1,0,0,0,0
,49,0,2,2,1,0,0
L99999999,21,1,4,2,0,0,0
