la,0-4,5-9,10-19,50-99,100-249,250+
E06000001,1315,235,120,75,20,20
E06000002,1610,345,210,125,35,20
E06000003,1845,340,195,90,40,15
E06000004,3210,510,280,175,75,30
E06000005,1905,345,200,120,25,20
E06000006,1865,430,225,165,55,20
E06000007,4800,810,380,255,75,45
E06000008,2650,560,295,185,60,35
E06000009,2095,480,270,130,35,20
E06000010,3130,860,505,290,95,60
E06000011,9230,1650,680,375,110,40
E06000012,2700,615,290,170,50,30
E06000013,3435,610,330,185,65,30
E06000014,4455,810,430,225,70,45
E06000015,4210,745,405,270,75,50
E06000016,6010,1310,670,380,130,55
E06000017,1330,185,115,60,10,15
E06000018,4670,1025,555,395,125,75
E06000019,7330,1160,520,255,85,45
E06000020,3005,545,290,190,65,45
E06000021,3335,870,450,260,80,45
E06000022,5360,955,460,235,65,40
E06000023,10490,1825,975,565,175,100
E06000024,5615,890,445,250,55,40
E06000025,6440,1005,490,295,75,40
E06000026,3400,810,400,225,70,40
E06000027,2520,545,240,140,40,25
E06000028,4080,665,355,210,55,40
E06000029,3910,695,360,175,60,35
E06000030,4325,605,345,195,85,65
E06000031,3615,670,355,215,85,30
E06000039,3180,445,245,185,70,55
E06000040,6390,820,420,235,85,60
E06000041,5670,690,350,210,65,25
E06000042,7350,1005,490,340,115,75
E06000043,8680,1300,630,335,80,40
E06000032,3495,575,300,175,50,40
E06000033,4390,665,325,160,45,30
E06000034,3270,520,250,115,50,35
E06000035,4905,820,425,195,70,45
E06000036,3215,395,190,110,40,25
E06000037,6110,895,455,265,90,45
E06000044,3315,655,335,170,60,30
E06000045,3735,750,380,195,60,50
E06000046,2895,650,335,185,30,20
E06000047,8315,1635,765,450,145,85
E06000049,12900,2040,985,505,135,95
E06000050,8900,1425,680,385,115,75
E06000051,10975,1900,760,345,110,75
E06000052,15465,3095,1410,735,175,90
E06000053,145,35,5,5,0,0
E06000054,15350,2385,1115,555,185,100
E06000055,4200,715,310,175,60,30
E06000056,8205,1175,560,340,95,45
E06000057,7335,1430,665,305,75,35
E07000004,6775,880,390,195,60,35
E07000005,4455,510,220,115,35,15
E07000006,3630,505,255,120,40,40
E07000007,6510,875,465,265,90,60
E07000088,1260,195,100,65,15,5
E07000089,3585,450,200,100,30,20
E07000090,2650,425,200,110,35,20
E07000091,5455,925,445,225,75,55
E07000092,2000,345,200,105,35,30
E07000093,3820,675,310,165,50,35
E07000094,4745,830,545,245,65,35
E07000095,2535,365,175,105,25,20
E07000096,5200,720,320,180,45,35
E07000098,4320,575,280,145,60,40
E07000099,4315,685,335,190,55,25
E07000102,3415,385,200,105,30,20
E06000038,4270,575,350,220,80,40
E07000008,3110,535,275,170,55,60
E07000009,2840,465,215,130,30,20
E07000010,2380,410,175,105,25,25
E07000011,5175,850,390,200,85,40
E07000012,5475,760,440,230,80,45
E07000026,3125,520,235,125,35,15
E07000027,1295,205,105,65,15,10
E07000028,2950,505,270,145,45,30
E07000029,1900,230,110,40,20,10
E07000030,2720,420,185,85,20,10
E07000031,4395,770,395,225,50,35
E07000032,2890,490,225,150,60,35
E07000033,1270,240,120,70,25,20
E07000034,1890,445,220,150,55,25
E07000035,3390,545,215,125,25,10
E07000036,2205,425,255,140,45,20
E07000037,2660,430,195,105,35,15
E07000038,2230,370,190,100,30,15
E07000039,2460,325,175,90,25,10
E07000040,4240,815,350,190,45,20
E07000041,2325,585,315,170,50,35
E07000042,3380,455,180,105,20,10
E07000043,3475,605,260,135,40,20
E07000044,3500,615,280,155,50,10
E07000045,3745,655,345,175,55,30
E07000046,2615,425,140,80,25,15
E07000047,2410,325,145,70,15,5
E07000048,1230,220,110,80,20,10
E07000049,3105,510,225,120,40,15
E07000050,2480,415,160,80,25,10
E07000051,1400,285,135,70,20,5
E07000052,3740,715,325,155,40,25
E07000053,1190,205,105,60,15,5
E07000061,1900,340,185,110,35,20
E07000062,1690,315,170,90,25,15
E07000063,2805,465,235,110,35,15
E07000064,2915,435,175,90,30,20
E07000065,5940,795,365,195,55,25
E07000066,4320,730,385,250,75,25
E07000067,4480,700,345,190,55,35
E07000068,2770,415,215,95,20,15
E07000069,2155,300,135,60,30,5
E07000070,5005,750,350,180,60,30
E07000071,4440,780,375,220,60,45
E07000072,4985,765,335,145,55,20
E07000086,3240,555,290,135,40,20
E07000073,1580,285,155,105,30,20
E07000074,2395,380,175,95,20,10
E07000075,2405,315,165,85,25,5
E07000076,2795,575,275,145,35,25
E07000077,3675,570,240,115,30,15
E07000078,3455,555,275,145,45,35
E07000079,4215,690,350,150,35,15
E07000080,2720,450,170,85,20,20
E07000087,2780,445,260,160,40,20
E07000081,2110,395,225,135,55,40
E07000082,4085,625,335,175,60,25
E07000083,2625,460,230,120,30,25
E07000084,5235,665,335,195,60,45
E07000085,4625,670,365,135,50,15
E07000103,2660,405,210,115,40,30
E07000105,4035,595,265,150,40,20
E07000106,3375,620,300,150,45,25
E07000107,2280,375,190,120,40,35
E07000108,2125,415,195,115,30,20
E07000109,2110,390,150,85,20,20
E07000110,4700,765,390,195,65,40
E07000111,4640,685,320,175,45,25
E07000112,2305,425,195,110,25,15
E07000113,2905,515,265,135,55,25
E07000114,2175,435,195,115,40,25
E07000115,3545,590,295,170,60,30
E07000116,4345,625,340,160,50,25
E07000117,1515,280,170,110,25,15
E07000118,2750,450,200,120,30,20
