la,0-4,5-9,10-19,20-49,50-99,100-249,250+
E06000001,1335,240,130,70,20,15,5
E06000002,1640,360,190,120,35,20,20
E06000003,1825,365,185,85,35,15,10
E06000004,3185,505,270,170,65,30,20
E06000005,1885,360,200,110,25,25,20
E06000006,1820,420,240,135,60,20,20
E06000007,4715,785,380,225,80,45,40
E06000008,2665,550,300,165,55,35,20
E06000009,2190,505,280,115,40,20,10
E06000010,3225,870,495,270,90,60,35
E06000011,9280,1680,695,340,100,50,20
E06000012,2795,595,290,155,45,25,20
E06000013,3445,640,320,170,55,25,20
E06000014,4175,870,420,210,70,40,30
E06000015,4210,750,405,250,65,45,35
E06000016,5915,1305,640,350,125,50,55
E06000017,1335,205,105,70,10,10,5
E06000018,4640,980,585,375,115,75,55
E06000019,7225,1230,485,245,80,40,20
E06000020,3015,600,285,175,60,40,30
E06000021,3375,895,450,240,75,35,30
E06000022,5430,970,430,235,55,40,40
E06000023,10260,1805,955,550,150,90,60
E06000024,5570,915,420,235,50,30,25
E06000025,6395,1005,490,280,75,35,40
E06000026,3390,850,370,235,60,35,30
E06000027,2610,550,235,135,45,25,10
E06000028,4095,700,350,190,55,35,25
E06000029,3940,720,335,175,55,40,25
E06000030,4215,620,310,190,85,60,45
E06000031,3560,700,350,200,80,35,45
E06000039,2990,435,245,160,70,45,50
E06000040,6285,845,375,220,70,50,35
E06000041,5600,725,325,165,60,25,35
E06000042,7070,1025,480,300,120,80,60
E06000043,8515,1330,605,300,80,35,25
E06000032,3435,565,305,145,50,35,45
E06000033,4330,680,310,150,55,25,20
E06000034,3215,515,240,110,40,35,15
E06000035,4900,815,400,190,60,40,20
E06000036,3215,405,180,105,35,30,35
E06000037,6050,870,465,250,90,40,40
E06000044,3355,655,320,160,50,30,20
E06000045,3745,765,340,180,55,40,30
E06000046,2980,695,315,170,35,15,10
E06000047,8385,1705,720,425,145,65,40
E06000049,12730,2035,950,500,135,70,60
E06000050,8750,1545,650,355,125,70,45
E06000051,10905,1895,750,330,90,75,25
E06000052,15450,3085,1425,670,165,80,40
E06000053,145,35,5,5,0,0,0
E06000054,15285,2385,1100,515,180,85,65
E06000055,4200,685,305,165,60,30,25
E06000056,8210,1190,510,280,75,45,35
E06000057,7390,1450,660,270,65,40,20
E07000004,6710,895,400,170,65,30,15
E07000005,4490,525,190,105,40,15,15
E07000006,3605,505,240,115,40,35,15
E07000007,6550,900,455,245,85,60,35
E07000088,1255,200,115,55,15,5,5
E07000089,3575,425,220,90,25,20,20
E07000090,2635,430,190,100,35,20,15
E07000091,5405,950,435,220,70,50,15
E07000092,2000,365,180,120,30,30,25
E07000093,3815,715,300,145,55,30,15
E07000094,4720,845,515,210,60,35,25
E07000095,2550,385,160,90,30,25,15
E07000096,5200,715,315,155,50,30,25
E07000098,4170,560,260,130,55,35,25
E07000099,4315,710,355,175,50,25,10
E07000102,3395,415,165,105,35,15,15
E06000038,4105,655,340,220,70,45,35
E07000008,3065,560,280,145,50,60,30
E07000009,2845,440,210,125,30,15,5
E07000010,2385,415,170,90,30,20,5
E07000011,5155,875,395,195,80,40,25
E07000012,5330,805,450,210,85,40,35
E07000026,3095,545,220,120,30,15,10
E07000027,1250,205,100,65,15,10,5
E07000028,2900,525,265,135,55,25,25
E07000029,1780,225,115,40,20,5,5
E07000030,2725,425,200,75,20,10,5
E07000031,4435,795,390,225,45,35,10
E07000032,2945,505,220,150,55,35,15
E07000033,1240,255,105,75,20,15,15
E07000034,1850,455,215,150,50,30,15
E07000035,3350,560,205,115,25,15,15
E07000036,2255,445,265,130,45,20,10
E07000037,2665,445,190,95,35,15,5
E07000038,2260,400,195,85,30,15,5
E07000039,2430,355,175,95,25,10,10
E07000040,4285,875,330,165,40,20,10
E07000041,2340,595,295,175,50,35,20
E07000042,3350,480,200,95,20,10,5
E07000043,3440,625,250,125,45,20,10
E07000044,3480,630,280,150,40,15,10
E07000045,3720,695,335,165,55,25,5
E07000046,2610,410,145,80,25,10,0
E07000047,2365,355,145,70,10,5,5
E07000048,1245,220,105,75,20,10,10
E07000049,3135,535,220,110,40,20,5
E07000050,2490,415,150,75,25,10,5
E07000051,1420,325,120,60,20,5,0
E07000052,3715,750,325,140,35,25,15
E07000053,1215,215,110,50,15,5,5
E07000061,1920,370,180,110,25,20,10
E07000062,1725,330,165,90,20,15,5
E07000063,2835,490,215,110,30,15,10
E07000064,2885,465,170,90,25,20,10
E07000065,5930,840,360,180,50,20,10
E07000066,4345,715,365,240,65,30,20
E07000067,4515,730,345,180,55,30,10
E07000068,2725,420,210,90,20,15,10
E07000069,2205,300,125,65,30,5,5
E07000070,4925,795,345,170,55,30,25
E07000071,4495,800,335,210,65,35,30
E07000072,4975,775,315,135,55,20,20
E07000086,3300,530,280,135,45,20,20
E07000073,1580,280,155,90,25,15,15
E07000074,2380,400,165,90,20,5,5
E07000075,2375,340,165,80,25,5,5
E07000076,2850,600,250,145,30,20,10
E07000077,3680,565,240,110,25,15,15
E07000078,3370,550,285,150,45,25,15
E07000079,4205,690,340,145,35,15,10
E07000080,2755,445,175,90,20,15,5
E07000087,2855,435,255,140,35,20,10
E07000081,2135,435,205,140,65,40,15
E07000082,4050,655,330,155,50,25,10
E07000083,2645,460,210,120,25,25,15
E07000084,5190,695,325,190,55,45,45
E07000085,4675,675,345,125,50,20,10
E07000103,2555,400,210,95,40,30,25
E07000105,4030,585,260,140,35,20,15
E07000106,3385,660,275,145,40,25,20
E07000107,2225,375,190,105,30,35,20
E07000108,2135,405,185,110,25,20,5
E07000109,2055,385,160,70,15,20,5
E07000110,4650,815,380,155,75,35,25
E07000111,4580,695,320,155,45,25,15
E07000112,2345,425,190,100,25,15,10
E07000113,2910,545,270,130,55,25,15
E07000114,2240,435,200,100,30,30,10
E07000115,3550,610,315,165,50,30,25
E07000116,4380,665,315,155,55,20,10
E07000117,1560,300,150,105,25,15,5
E07000118,2815,455,195,120,30,15,10
E07000119,2150,385,175,90,30,15,10
E07000120,1440,310,145,100,40,15,10
E07000121,2925,570,255,150,40,30,15
E07000122,1825,330,160,90,30,15,10
E07000123,3085,640,330,145,55,30,20
E07000124,2360,355,140,65,25,5,5
E07000125,1760,285,140,60,25,15,10
E07000126,2485,450,200,125,45,30,20
E07000127,2825,575,270,135,45,20,15
E07000128,2820,480,230,105,25,10,5
E07000129,2845,355,185,115,20,20,15
E07000130,3865,695,330,185,40,35,20
E07000131,3525,500,240,105,40,20,10
E07000132,3005,495,230,85,40,20,15
E07000133,1720,270,105,55,15,10,10
E07000134,2670,465,240,120,55,35,20
E07000135,1165,205,110,45,10,10,5
E07000136,1370,275,155,90,40,20,15
E07000137,3755,820,345,150,55,20,5
E07000138,1410,340,180,105,25,20,20
E07000139,3035,485,210,120,35,20,15
E07000140,2370,445,220,95,25,20,10
E07000141,3820,720,310,130,55,20,15
E07000142,2495,445,190,90,25,15,5
E07000143,3455,605,260,150,45,20,15
