SIC,0-4,5-9,10-19,20-49,50-99,100-249,250-499,500-999,1000+
01,118615,11650,3040,885,225,95,30,5,0,134545
02,2990,340,155,65,20,5,0,0,0,3575
03,3525,305,100,20,0,0,0,0,0,3950
05,5,5,5,10,15,10,0,5,0,55
06,55,25,15,15,15,10,10,0,0,145
07,5,0,0,0,0,0,0,0,0,5
08,780,350,240,140,35,20,0,0,0,1565
09,245,35,20,35,20,25,5,5,5,395
10,3225,1620,1105,865,470,405,215,115,25,8045
11,730,180,145,105,55,50,20,10,0,1295
12,0,5,5,0,0,0,0,5,0,15
13,2345,735,465,320,120,80,20,0,0,4085
14,2320,695,370,195,50,20,5,0,0,3655
15,360,100,55,50,20,10,0,0,0,595
16,4955,1360,830,440,145,50,5,0,0,7785
17,785,255,235,245,150,130,25,0,0,1825
18,9610,2360,1250,745,250,130,25,5,0,14375
19,90,20,25,10,15,5,5,10,0,180
20,1215,450,375,415,230,150,60,20,0,2915
21,310,65,40,90,50,40,40,15,0,650
22,2480,1280,1025,835,425,260,50,10,5,6370
23,2865,910,620,430,210,115,35,5,0,5190
24,645,230,205,260,110,85,20,15,5,1575
25,15235,4745,3305,2145,690,275,35,10,5,26445
26,3740,945,695,565,280,160,60,15,5,6465
27,1395,465,480,460,205,135,30,15,0,3185
28,4435,1640,1105,960,410,260,70,25,5,8910
29,1505,445,295,285,165,130,55,20,15,2915
30,1360,245,145,130,95,95,45,25,20,2160
31,3860,1120,690,460,165,90,30,5,0,6420
32,7065,1775,770,410,130,80,25,5,0,10260
33,7565,1065,780,435,165,100,35,15,5,10165
35,1265,240,195,185,140,85,50,35,20,2215
36,435,170,150,115,60,35,10,5,0,980
37,765,240,180,145,45,15,0,5,0,1395
38,3915,1310,940,840,345,175,25,10,0,7560
39,400,85,50,20,5,0,0,0,0,560
41,64690,7395,2960,1460,600,345,65,15,5,77535
42,15315,2815,1425,1050,455,270,75,30,15,21450
43,144020,18135,7555,3505,955,370,60,15,5,174620
45,52710,14075,5760,4130,1010,245,20,10,0,77960
46,78050,22195,13580,7180,2135,920,230,70,20,124380
47,165915,66050,32765,14915,3750,2215,1210,250,30,287100
49,32980,5860,3640,2325,920,575,230,60,10,46600
50,1125,230,145,80,20,25,5,5,0,1635
51,775,130,100,70,55,65,20,15,10,1240
52,8730,2695,1935,1615,700,435,155,80,20,16365
53,12305,1620,965,1125,730,360,70,35,15,17225
55,8130,3470,3205,2830,1205,645,85,15,10,19595
56,70100,39105,22835,13515,2135,480,65,35,15,148285
58,7770,1295,800,515,210,110,65,20,15,10800
59,16225,905,595,470,225,60,15,10,5,18510
60,1535,155,135,65,50,25,5,10,0,1980
61,7600,1370,875,595,235,190,95,40,20,11020
62,104585,6035,3490,2070,745,365,110,40,25,117465
63,6135,600,350,195,80,65,30,10,5,7470
64,15480,6495,4160,2140,430,255,140,115,75,29290
65,5855,375,225,170,90,90,65,40,15,6925
66,19970,4310,2185,1315,560,370,145,75,35,28965
68,69780,12920,5215,1715,555,345,70,25,0,90625
69,50840,10065,5855,2965,845,425,130,50,30,71205
70,117855,6775,3425,1875,655,445,125,55,25,131235
71,64060,6640,3780,2010,650,335,90,30,10,77605
72,2980,510,370,285,180,130,50,30,10,4545
73,17180,1895,1020,585,245,135,50,25,10,21145
74,54450,3750,1440,520,145,45,10,10,0,60370
75,2185,1410,1045,470,50,10,0,0,0,5170
77,13065,4175,1885,930,230,115,15,5,0,20420
78,13340,2765,2180,2455,1705,1390,405,120,45,24405
79,5870,3040,1065,420,185,85,25,5,0,10695
80,5540,1095,735,495,265,195,85,30,25,8465
81,36025,7500,3855,2035,795,440,175,80,70,50975
82,53320,6240,3010,1350,515,300,100,50,20,64905
84,8725,3865,4025,4010,2155,1705,835,350,160,25830
85,22445,8600,8490,15560,8050,4410,655,190,120,68520
86,27810,12365,10155,7275,2045,1245,355,145,315,61710
87,8740,4640,6255,7485,3195,615,45,15,5,30995
88,22735,13900,11515,7425,2135,915,150,30,10,58815
90,26215,1480,590,285,190,65,15,5,0,28845
91,2910,1490,960,735,220,105,25,10,0,6455
92,4045,6330,525,455,135,70,10,0,5,11575
93,18065,4955,3605,2725,1080,465,75,30,5,31005
94,16840,4670,2375,1225,390,200,50,10,5,25765
95,6830,745,370,160,70,30,10,0,5,8220
96,51740,14320,4660,1190,180,75,20,0,0,72185
97,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,5,0,5,0,0,0,0,0,0,10
