la,name,0-4,5-9,10-19,20-49,50-99,100-249,250+,Total
E06000001,Hartlepool,2065,400,225,170,65,40,10,2975
E06000002,Middlesbrough,2745,615,415,285,100,55,20,4235
E06000003,Redcar and Cleveland,2690,610,365,235,90,40,15,4045
E06000004,Stockton-on-Tees,4670,920,595,455,185,100,35,6960
E06000005,Darlington,2685,615,350,260,95,40,30,4075
E06000006,Halton,2965,660,385,350,110,70,25,4565
E06000007,Warrington,6740,1225,820,590,245,130,65,9815
E06000008,Blackburn with Darwen,3730,770,515,365,125,80,20,5605
E06000009,Blackpool,3180,740,455,300,100,55,20,4850
E06000010,"Kingston upon Hull, City of",4855,1525,985,640,265,100,60,8430
E06000011,East Riding of Yorkshire,11545,2330,1305,725,240,115,35,16295
E06000012,North East Lincolnshire,3790,860,525,385,135,70,30,5795
E06000013,North Lincolnshire,4465,975,545,395,130,75,30,6615
E06000014,York,5675,1400,870,590,200,105,35,8875
E06000015,Derby,6195,1300,820,635,225,115,55,9345
E06000016,Leicester,9735,1925,1135,760,315,135,75,14080
E06000017,Rutland,1625,225,145,95,25,15,5,2135
E06000018,Nottingham,7220,1725,1175,855,315,185,95,11570
E06000019,"Herefordshire, County of",8445,1455,810,525,135,75,25,11470
E06000020,Telford and Wrekin,4130,875,540,405,155,90,50,6245
E06000021,Stoke-on-Trent,4870,1280,830,515,235,90,55,7875
E06000022,Bath and North East Somerset,6795,1325,815,500,140,75,30,9680
E06000023,"Bristol, City of",15185,2945,1900,1300,480,245,125,22180
E06000024,North Somerset,7315,1250,785,495,165,80,30,10120
E06000025,South Gloucestershire,8590,1485,945,705,250,140,70,12185
E06000026,Plymouth,4760,1315,780,555,195,95,50,7750
E06000027,Torbay,3280,840,430,305,85,50,10,5000
E06000028,Bournemouth,5475,1165,655,420,135,85,30,7965
E06000029,Poole,5125,980,575,375,155,80,35,7325
E06000030,Swindon,6465,1075,700,490,190,125,65,9110
E06000031,Peterborough,5810,1110,640,470,200,110,60,8400
E06000032,Luton,8530,1075,585,315,150,95,50,10800
E06000033,Southend-on-Sea,5900,965,515,325,100,60,20,7885
E06000034,Thurrock,5510,830,510,325,145,75,25,7420
E06000035,Medway,7205,1290,730,435,170,110,30,9970
E06000036,Bracknell Forest,4090,590,340,235,80,70,35,5440
E06000037,West Berkshire,7565,1170,715,500,155,85,50,10240
E06000038,Reading,6255,985,720,505,210,85,50,8810
E06000039,Slough,5170,720,455,330,135,100,40,6950
E06000040,Windsor and Maidenhead,8055,1125,620,420,150,80,35,10485
E06000041,Wokingham,7345,900,550,350,135,65,40,9385
E06000042,Milton Keynes,10910,1525,990,790,275,195,95,14780
E06000043,Brighton and Hove,11745,1915,1135,735,210,110,50,15900
E06000044,Portsmouth,4865,1115,705,445,180,110,40,7460
E06000045,Southampton,5760,1245,780,540,165,105,50,8645
E06000046,Isle of Wight,3680,930,525,365,90,45,10,5645
E06000047,County Durham,11435,2625,1540,970,320,170,60,17120
E06000049,Cheshire East,16675,2840,1520,1025,320,175,70,22625
E06000050,Cheshire West and Chester,11825,2205,1335,910,280,160,55,16770
E06000051,Shropshire,12995,2420,1320,715,200,110,35,17795
E06000052,Cornwall,19260,4385,2440,1415,370,180,70,28120
E06000053,Isles of Scilly,165,55,20,5,0,0,0,245
E06000054,Wiltshire,22075,3275,1840,1135,390,190,65,28970
E06000055,Bedford,5905,965,560,390,175,55,35,8085
E06000056,Central Bedfordshire,12385,2510,1135,520,175,80,35,16840
E06000057,Northumberland,9290,2065,1120,640,215,70,35,13435
E07000004,Aylesbury Vale,8440,1225,660,400,115,65,30,10935
E07000005,Chiltern,5515,670,320,195,60,30,10,6800
E07000006,South Bucks,4395,635,335,205,60,35,10,5675
E07000007,Wycombe,8050,1255,705,465,175,90,25,10765
E07000008,Cambridge,4200,985,685,445,175,135,45,6670
E07000009,East Cambridgeshire,3360,555,320,185,65,25,10,4520
E07000010,Fenland,2965,570,290,200,55,45,15,4140
E07000011,Huntingdonshire,6520,1095,655,420,130,90,25,8935
E07000012,South Cambridgeshire,6660,1040,625,400,155,65,40,8985
E07000026,Allerdale,3795,755,455,255,50,40,10,5360
E07000027,Barrow-in-Furness,1735,335,215,160,45,25,10,2525
E07000028,Carlisle,3935,825,480,335,105,50,25,5755
E07000029,Copeland,2340,370,210,135,40,20,10,3125
E07000030,Eden,3060,500,315,165,45,25,5,4115
E07000031,South Lakeland,5195,1020,660,365,90,40,15,7385
E07000032,Amber Valley,3640,700,385,285,110,50,25,5195
E07000033,Bolsover,1850,455,255,170,75,35,10,2850
E07000034,Chesterfield,2645,665,405,300,120,55,15,4205
E07000035,Derbyshire Dales,3910,705,400,220,40,35,10,5320
E07000036,Erewash,2990,595,385,245,90,50,5,4360
E07000037,High Peak,3260,600,355,220,70,35,5,4545
E07000038,North East Derbyshire,2725,460,275,195,45,25,5,3730
E07000039,South Derbyshire,3105,420,280,195,55,25,10,4090
E07000040,East Devon,5155,1025,610,295,80,35,15,7215
E07000041,Exeter,3290,905,665,485,170,80,40,5635
E07000042,Mid Devon,3825,580,300,155,50,20,5,4935
E07000043,North Devon,4030,820,430,250,85,35,15,5665
E07000044,South Hams,4115,825,480,245,60,25,10,5760
E07000045,Teignbridge,4570,885,540,315,95,45,15,6465
E07000046,Torridge,3075,525,250,135,45,20,0,4050
E07000047,West Devon,2700,445,225,115,25,10,5,3525
E07000048,Christchurch,1605,355,190,145,35,20,5,2355
E07000049,East Dorset,3560,645,365,220,55,30,5,4880
E07000050,North Dorset,2950,545,260,145,35,30,5,3970
E07000051,Purbeck,1640,360,220,120,40,10,5,2395
E07000052,West Dorset,4545,965,520,310,90,40,10,6480
E07000053,Weymouth and Portland,1470,345,190,125,40,15,10,2195
E07000061,Eastbourne,2510,565,315,240,80,45,15,3770
E07000062,Hastings,2300,445,295,170,80,25,10,3325
E07000063,Lewes,3610,685,365,225,60,30,15,4990
E07000064,Rother,3480,585,325,170,50,25,0,4635
E07000065,Wealden,7220,1060,560,330,105,35,5,9315
E07000066,Basildon,6100,1060,665,430,155,70,30,8510
E07000067,Braintree,5480,985,565,345,115,40,20,7550
E07000068,Brentwood,3725,515,330,180,60,25,20,4855
E07000069,Castle Point,2800,390,205,120,35,20,10,3580
E07000070,Chelmsford,6710,1070,660,420,140,85,35,9120
E07000071,Colchester,5775,1090,655,465,165,80,35,8265
E07000072,Epping Forest,6440,935,460,275,85,50,15,8260
E07000073,Harlow,2445,440,265,205,80,40,20,3495
E07000074,Maldon,2740,435,240,135,40,20,0,3610
E07000075,Rochford,3045,405,235,160,45,15,0,3905
E07000076,Tendring,3575,750,425,255,100,40,5,5150
E07000077,Uttlesford,4405,690,365,235,70,35,10,5810
E07000078,Cheltenham,4510,855,535,325,100,55,25,6405
E07000079,Cotswold,4965,880,505,265,80,35,10,6740
E07000080,Forest of Dean,3175,535,290,170,50,20,0,4240
E07000081,Gloucester,3000,730,490,335,115,85,25,4780
E07000082,Stroud,4915,835,490,310,80,40,15,6685
E07000083,Tewkesbury,3365,570,345,250,70,50,25,4675
E07000084,Basingstoke and Deane,6655,940,575,445,170,85,40,8910
E07000085,East Hampshire,5310,860,475,295,70,40,10,7060
E07000086,Eastleigh,5200,785,515,310,130,70,30,7040
E07000087,Fareham,3665,715,425,300,90,50,15,5260
E07000088,Gosport,1700,320,205,110,50,20,10,2415
E07000089,Hart,4195,570,330,175,70,35,15,5390
E07000090,Havant,3605,625,375,225,85,45,20,4980
E07000091,New Forest,6445,1245,695,455,155,65,20,9080
E07000092,Rushmoor,2815,550,350,240,80,65,25,4125
E07000093,Test Valley,5065,870,525,375,130,60,10,7035
E07000094,Winchester,5880,1100,710,445,135,70,30,8370
E07000095,Broxbourne,3515,545,280,180,50,35,15,4620
E07000096,Dacorum,6905,970,520,385,110,60,25,8975
E07000098,Hertsmere,6360,755,430,255,95,70,20,7985
E07000099,North Hertfordshire,5385,930,525,325,100,50,15,7330
E07000102,Three Rivers,4505,540,285,175,65,40,15,5625
E07000103,Watford,4180,645,440,285,95,55,35,5735
E07000105,Ashford,5155,865,475,320,80,60,25,6980
E07000106,Canterbury,4465,910,535,365,80,65,30,6450
E07000107,Dartford,3620,610,435,315,115,60,25,5180
E07000108,Dover,2800,605,350,225,70,30,10,4090
E07000109,Gravesham,3220,550,260,165,50,30,15,4290
E07000110,Maidstone,5950,1115,625,415,135,80,30,8350
E07000111,Sevenoaks,5550,855,460,285,80,40,15,7285
E07000112,Shepway,3110,655,355,230,60,30,15,4455
E07000113,Swale,3975,830,440,275,100,60,20,5700
E07000114,Thanet,3135,725,420,255,80,45,15,4675
E07000115,Tonbridge and Malling,4640,780,465,305,130,50,25,6395
E07000116,Tunbridge Wells,5405,850,520,325,85,50,15,7250
E07000117,Burnley,2080,455,290,220,65,40,20,3170
E07000118,Chorley,3625,605,350,265,65,35,10,4955
E07000119,Fylde,2650,525,290,210,50,35,15,3775
E07000120,Hyndburn,1775,440,260,185,50,30,10,2750
