Population,New Businesses
2602,7265
514,1255
105,350
92,260
139,350
135,345
192,675
282,950
201,585
148,390
276,620
7084,26535
148,490
142,410
372,1935
330,1425
126,360
204,915
499,1705
96,320
68,220
108,310
70,290
53,150
104,415
2702,10855
279,975
186,835
511,2545
226,695
212,665
237,1030
284,1220
220,655
229,1290
319,945
1176,4125
87,265
109,405
76,385
80,220
140,395
90,260
141,540
58,270
68,215
109,390
111,425
108,355
1386,4315
146,380
470,1515
274,895
176,485
320,1040
5317,17990
336,1115
257,690
160,745
168,500
200,720
603,2460
56,225
90,340
159,855
54,160
52,200
109,355
84,325
1352,3870
234,640
303,890
258,735
557,1605
2241,7890
525,1675
205,835
426,1495
758,2970
328,915
4568,16625
251,835
332,1260
309,980
37,155
774,2610
123,410
76,220
104,360
71,320
113,345
91,370
99,265
96,320
657,2705
95,370
169,590
86,440
106,425
51,230
94,420
56,230
719,2595
65,195
137,400
95,300
109,595
89,305
135,520
90,280
701,3095
63,180
78,405
87,350
95,395
215,965
86,480
76,320
790,2390
120,275
113,340
111,295
114,305
105,280
116,425
112,470
5643,19650
185,645
308,1060
250,610
168,505
852,2865
98,350
114,430
101,455
124,305
108,400
132,450
97,255
77,220
548,2520
62,245
126,395
101,440
121,660
139,780
2763,9260
1085,3925
323,1090
314,960
311,880
207,845
271,800
251,760
569,2185
94,460
75,290
84,270
100,330
118,485
98,350
5907,25335
159,675
260,1150
206,835
186,680
175,880
160,655
628,2570
125,540
85,335
96,290
171,650
151,755
1407,6540
177,800
148,690
74,430
88,330
169,820
176,680
126,895
83,300
62,315
84,375
138,380
81,525
1129,6295
95,440
147,775
101,830
128,635
142,945
89,520
92,480
112,580
865,2655
132,390
125,370
98,320
149,395
102,325
134,480
126,375
732,2400
88,320
61,205
135,430
98,330
112,380
124,430
116,305
8308,65095
225,3140
8,1900
252,2140
180,1885
259,1500
211,2335
156,1685
310,4255
282,1415
314,1575
294,1995
263,2395
308,2370
224,6915
191,845
364,2995
234,895
315,1975
314,1670
369,1765
341,2225
317,1615
260,1250
242,1730
240,1085
282,1495
259,1820
164,980
202,1530
285,1825
189,1595
194,910
263,1385
8725,41245
115,510
276,1620
139,375
268,940
252,1375
207,640
157,880
142,795
239,750
155,900
146,1090
157,835
512,2875
178,850
93,565
67,545
173,915
531,2080
100,315
90,310
99,375
91,340
151,740
1330,5745
171,775
116,625
127,475
113,450
83,230
92,500
121,420
177,740
95,325
117,555
118,650
1480,6325
120,565
153,535
99,480
112,340
103,425
157,760
116,695
109,530
138,445
136,390
122,545
116,615
661,2875
143,580
153,505
136,770
123,510
107,510
1144,7180
132,975
76,360
140,785
86,550
140,690
82,490
97,665
87,555
84,485
122,1060
99,565
815,3455
62,220
151,455
115,595
108,400
132,670
141,695
106,420
5340,20235
178,735
187,800
433,2055
538,1720
2,15
204,855
258,710
149,630
266,1025
212,795
132,405
477,1940
753,2550
134,455
119,405
78,265
94,315
84,345
125,405
65,200
54,160
415,1580
48,200
88,395
69,260
45,165
100,365
65,195
602,2605
116,600
84,490
83,275
123,395
113,475
83,370
535,1815
110,430
116,375
163,500
111,410
35,100
