CompanyNumber,Date,OldPostcode,NewPostcode,OldLocalAuthority,NewLocalAuthority,RegisteredStaff,IncorperationDate,NFiles
03545015,2015-10-23,DE4 3GB,DE7 5FW,E07000035,E07000036,2,1998-04-06,41
08844985,2016-01-05,SE1 7HR,EC1A 9EJ,E09000022,E09000001,1,2014-01-14,5
05671376,2006-10-23,SW14 8HJ,RG14 1JX,E09000027,E06000037,4,2006-01-10,8
06759388,2009-01-08,WC1R 4JS,EC3V 9BQ,E09000007,E09000001,1,2008-11-26,2
06759388,2009-11-17,EC3V 9BQ,SE16 2XU,E09000001,E09000028,1,2008-11-26,3
06759388,2009-12-18,SE16 2XU,WC1R 4JS,E09000028,E09000007,1,2008-11-26,4
06759388,2010-01-07,WC1R 4JS,BR6 0EL,E09000007,E09000006,1,2008-11-26,5
06759388,2010-01-14,BR6 0EL,WC1R 4JS,E09000006,E09000007,1,2008-11-26,8
06759388,2015-01-23,WC1R 4JS,BR6 0EL,E09000007,E09000006,1,2008-11-26,28
OC331646,2009-09-28,SL1 1SE,SL4 1SE,E06000039,E06000040,1,2007-09-24,5
04582610,2002-11-19,W1C 1AT,SL4 5AQ,E09000033,E06000040,2,2002-11-06,5
04582610,2012-12-05,SL4 5AQ,SL6 5FD,E06000040,E06000040,3,2002-11-06,30
09012200,2015-05-14,BN3 6HA,SO16 5DU,E06000043,E06000045,1,2014-04-25,3
09012200,2015-05-20,SO16 5DU,SO16 5DU,E06000045,E06000045,1,2014-04-25,5
09012200,2017-07-17,SO16 5DU,PO6 3EB,E06000045,E06000044,2,2014-04-25,20
03476162,2000-03-02,CB7 4DT,CB7 4GS,E07000009,E07000009,2,1997-12-04,9
03476162,2001-12-11,CB7 4GS,CB7 4GS,E07000009,E07000009,2,1997-12-04,14
03476162,2010-11-23,CB7 4GS,CB5 8LA,E07000009,E07000008,2,1997-12-04,45
06669393,2010-02-18,SW18 4QZ,RM5 2BB,E09000032,E09000016,1,2008-08-11,4
07778492,2011-10-24,M25 9JY,WF2 8PW,E08000002,E08000036,1,2011-09-19,4
01483743,1995-03-16,BL5 3TY,BL5 3AA,E08000001,E08000001,1,1986-11-11,24
01483743,1996-04-02,BL5 3AA,BL5 3TY,E08000001,E08000001,1,1986-11-11,27
01483743,2003-03-13,BL5 3TY,BL5 3SX,E08000001,E08000001,1,1986-11-11,42
01483743,2006-02-15,BL5 3SX,BL5 3SR,E08000001,E08000001,1,1986-11-11,48
06576637,2011-04-11,TQ6 9BU,TQ12 2JS,E07000044,E07000045,1,2008-04-25,18
06576637,2011-12-20,TQ12 2JS,TR1 2NA,E07000045,E06000052,1,2008-04-25,30
01770124,1986-09-24,S10 2LN,N19 5NL,E08000019,E09000019,1,1983-11-15,6
01770124,1995-08-14,N19 5NL,BN17 5DD,E09000019,E07000224,3,1983-11-15,51
01770124,2018-01-10,BN17 5DD,BN18 0HY,E07000224,E07000224,5,1983-11-15,162
02310447,1988-11-15,EC1Y 2DQ,BS1 5DF,E09000019,E06000023,1,1988-10-28,4
02310447,1990-10-01,BS1 5DF,PR1 2AT,E06000023,E07000123,2,1988-10-28,12
02310447,1993-11-17,PR1 2AT,PR1 2AU,E07000123,E07000123,5,1988-10-28,26
02310447,2013-05-20,PR1 2AU,PO15 7PA,E07000123,E07000094,3,1988-10-28,82
01998076,1986-12-10,HU1 1PH,HU4 6XH,E06000010,E06000010,1,1986-12-10,3
02999803,1994-12-21,BS2 9LU,SL1 3SR,E06000023,E06000039,2,1994-12-08,4
02999803,2013-10-02,SL1 3SR,BH2 6LA,E06000039,E06000028,2,1994-12-08,67
08055035,2013-11-29,W1G 9QU,W1G 9JR,E09000033,E09000033,1,2012-05-02,5
08102987,2012-09-25,LE5 1NX,B11 2AL,E06000016,E08000025,1,2012-06-13,2
09219118,2014-12-23,SR8 3AE,NN5 7PH,E06000047,E07000154,1,2014-10-24,6
09219118,2015-03-25,NN5 7PH,BS16 3XG,E07000154,E06000023,1,2014-10-24,9
09219118,2015-06-23,BS16 3XG,DE22 3RD,E06000023,E06000015,1,2014-10-24,12
09219118,2015-10-01,DE22 3RD,LS9 6JB,E06000015,E08000035,1,2014-10-24,16
09219118,2016-04-13,LS9 6JB,NN11 4LG,E08000035,E07000151,1,2014-10-24,19
09219118,2016-10-18,NN11 4LG,PE29 7WJ,E07000151,E07000011,1,2014-10-24,24
09219118,2017-05-31,PE29 7WJ,LS14 1AB,E07000011,E08000035,1,2014-10-24,27
09219118,2018-02-05,LS14 1AB,NN10 8BL,E08000035,E07000152,1,2014-10-24,36
09219118,2018-06-28,NN10 8BL,LS7 4RA,E07000152,E08000035,1,2014-10-24,43
09219118,2018-06-28,LS7 4RA,LS14 1AB,E08000035,E08000035,1,2014-10-24,43
04682564,2005-04-22,NW10 7JH,SS12 9PF,E09000009,E07000066,1,2003-02-28,22
04682564,2007-06-06,SS12 9PF,SS11 8AB,E07000066,E07000066,3,2003-02-28,33
04682564,2009-03-04,SS11 8AB,SS12 0BB,E07000066,E07000066,2,2003-02-28,44
04682564,2013-02-28,SS12 0BB,SS12 0FD,E07000066,E07000066,2,2003-02-28,60
10570602,2017-06-21,HG1 2EU,WD17 1HP,E07000165,E07000103,1,2017-01-18,2
05304145,2009-02-11,BS1 6JS,W1G 9BR,E06000023,E09000033,3,2004-12-03,21
05304145,2015-02-11,W1G 9BR,EC3V 3QQ,E09000033,E09000001,3,2004-12-03,35
05581412,2005-11-08,DE1 1HN,DE56 2BW,E06000015,E07000032,3,2005-10-03,6
06410302,2008-11-18,CH3 7NQ,WA4 5DZ,E06000050,E06000007,1,2007-10-26,3
07162200,2018-05-15,GL53 9PR,HP4 2PN,E07000079,E07000096,2,2010-02-18,25
04978518,2009-04-07,LS22 7GZ,EN11 0DR,E08000035,E07000095,16,2003-11-27,36
09288120,2015-03-30,BN1 9GD,BN2 8DB,E06000043,E07000063,1,2014-10-30,3
09288120,2015-10-04,BN2 8DB,BN9 9DY,E07000063,E07000063,1,2014-10-30,4
09288120,2016-11-14,BN9 9DY,BN9 9NJ,E07000063,E07000063,1,2014-10-30,7
06909071,2010-02-05,NW11 7TJ,NG21 0QQ,E09000003,E07000175,1,2009-05-18,7
06909071,2011-01-10,NG21 0QQ,NG31 6JP,E07000175,E07000141,1,2009-05-18,11
06909071,2013-04-15,NG31 6JP,NG7 1TN,E07000141,E06000018,1,2009-05-18,16
05018011,2004-04-28,M2 3AB,WA14 5NQ,E08000003,E08000009,4,2004-01-16,7
05018011,2005-02-03,WA14 5NQ,M3 5EQ,E08000009,E08000006,4,2004-01-16,10
05018011,2005-12-19,M3 5EQ,WA14 2XP,E08000006,E08000009,4,2004-01-16,15
05018011,2011-03-30,WA14 2XP,WA14 1EP,E08000009,E08000009,4,2004-01-16,37
04318808,2001-11-30,EN5 5SU,HX1 1JB,E09000003,E08000033,3,2001-11-07,7
04318808,2005-07-20,HX1 1JB,HX3 6AS,E08000033,E08000033,3,2001-11-07,15
04318808,2012-11-28,HX3 6AS,HX3 6AS,E08000033,E08000033,3,2001-11-07,33
08005945,2014-12-16,LS17 7SB,SW4 8EB,E08000035,E09000022,1,2012-03-26,6
06720898,2014-07-15,EC2Y 9AW,W15 2EA,E09000001,,3,2008-10-10,53
08077564,2016-01-07,N8 7NU,TW3 3SQ,E09000014,E09000018,1,2012-05-22,10
06475424,2012-01-05,NP20 4PG,NG22 0NL,W06000022,E07000171,2,2008-01-16,17
11238142,2018-05-01,OL8 3PS,BL9 6AW,E08000004,E08000002,1,2018-03-06,2
