E06000047,1685,1260,3040,5445
E06000005,465,310,720,1145
E06000001,325,240,540,680
E06000002,450,320,645,950
E06000057,1240,975,2390,5260
E06000003,440,300,715,1080
E06000004,895,575,1255,1580
E08000037,730,525,1160,1825
E08000021,1125,880,1740,2640
E08000022,765,585,1110,1470
E08000023,485,315,690,955
E08000024,765,520,1240,1980
E06000008,690,485,1070,1555
E06000009,490,365,845,1345
E06000049,2705,2160,4540,7305
E06000050,1970,1470,3150,5040
E06000006,485,385,810,1095
E06000007,1220,920,1900,2375
E07000026,460,325,1015,2270
E07000027,315,200,550,635
E07000028,470,345,970,2185
E07000029,415,240,615,1045
E07000030,230,220,635,2360
E07000031,590,485,1460,3345
E08000001,1245,1025,2070,2875
E08000002,1020,775,1520,2130
E08000003,3285,2230,3635,4705
E08000004,830,680,1435,2295
E08000005,870,680,1385,2200
E08000006,1260,910,1730,2545
E08000007,1665,1265,2760,4070
E08000008,845,630,1350,2250
E08000009,2095,1360,2775,3395
E08000010,1230,915,2005,2940
E07000117,360,235,600,930
E07000118,550,430,1030,1570
E07000119,425,355,785,1260
E07000120,275,230,545,955
E07000121,520,385,1040,2015
E07000122,370,270,615,1205
E07000123,715,515,1115,1910
E07000124,395,320,770,1550
E07000125,305,280,610,1035
E07000126,555,410,960,1490
E07000127,575,430,940,1885
E07000128,475,385,915,1845
E08000011,450,300,660,870
E08000012,1885,1390,2640,3855
E08000013,620,415,975,1560
E08000014,1050,780,1775,2665
E08000015,1325,940,1960,2725
E06000011,1555,1280,3120,6155
E06000010,815,605,1300,2255
E06000012,575,430,1050,1820
E06000013,685,485,1160,2340
E06000014,1035,785,1620,2625
E07000163,300,285,730,1885
E07000164,520,430,1070,2825
E07000165,1180,945,1955,3960
E07000166,245,220,550,1510
E07000167,325,230,665,2130
E07000168,395,345,900,2125
E07000169,440,365,845,1530
E08000016,815,600,1480,2150
E08000017,1125,810,1665,2805
E08000018,975,750,1475,2305
E08000019,2070,1690,3410,5615
E08000032,2045,1670,3250,5475
E08000033,1100,840,1780,3075
E08000034,1975,1550,3190,5285
E08000035,3985,3040,5880,8655
E08000036,1225,930,2025,3400
E06000015,1080,805,1645,2260
E06000016,1660,1270,2255,3420
E06000018,1235,945,1780,2935
E06000017,245,190,445,835
E07000032,560,430,1060,1820
E07000033,265,190,505,795
E07000034,445,295,760,1305
E07000035,445,380,1025,2475
E07000036,415,340,910,1435
E07000037,470,405,935,1635
E07000038,385,330,755,1470
E07000039,450,380,920,1350
E07000129,555,425,1000,1380
E07000130,780,625,1415,2455
E07000131,620,535,1175,2150
E07000132,565,455,1055,1820
E07000133,330,245,505,1165
E07000134,580,400,965,1695
E07000135,295,210,390,675
E07000136,280,170,435,1085
E07000137,535,370,1160,3010
E07000138,365,240,570,930
E07000139,825,490,920,1780
E07000140,465,290,695,1795
E07000141,740,570,1315,2445
E07000142,420,330,820,1690
E07000150,275,190,375,625
E07000151,595,450,1025,1890
E07000152,520,425,930,1505
E07000153,520,390,860,1280
E07000154,1340,935,1715,2505
E07000155,695,580,1345,2060
E07000156,455,365,715,1210
E07000170,385,245,705,1120
E07000171,510,390,815,1650
E07000172,415,335,765,1165
E07000173,405,355,830,1295
E07000174,355,270,610,985
E07000175,590,495,1100,1985
E07000176,630,530,1175,1840
E06000019,1000,775,2055,5590
E06000051,1540,1300,3260,8085
E06000021,790,625,1325,2330
E06000020,710,510,1080,1870
E07000192,580,405,865,1245
E07000193,585,445,1045,1920
E07000194,655,495,1105,1940
E07000195,405,325,815,1450
E07000196,560,450,1025,1725
E07000197,650,475,1230,2270
E07000198,410,330,855,2150
E07000199,300,255,555,840
E07000218,375,315,630,1175
E07000219,550,395,835,1195
E07000220,640,490,1000,1645
E07000221,1005,830,1830,3475
E07000222,1110,790,1725,2595
E08000025,4980,3630,6675,9925
E08000026,1505,1055,2035,2810
E08000027,1265,1030,2150,3895
E08000028,1160,875,1655,2840
E08000029,1165,960,1925,2655
