NORTH EAST,9370,6805,15245,25010
County Durham,1685,1260,3040,5445
Chester-le-Street,165,125,295,425
Derwentside,270,240,510,890
Durham,350,240,540,845
Easington,230,150,390,635
Sedgefield,315,240,525,915
Teesdale,130,110,290,895
Wear Valley,225,155,490,840
Darlington,465,310,720,1145
Hartlepool,325,240,540,680
Middlesbrough,450,320,645,950
Northumberland,1240,975,2390,5260
Alnwick,165,125,310,770
Berwick-upon-Tweed,120,100,260,805
Blyth Valley,245,160,415,640
Castle Morpeth,235,205,470,930
Tynedale,310,250,650,1685
Wansbeck,165,135,285,430
Redcar and Cleveland,440,300,715,1080
Stockton-on-Tees,895,575,1255,1580
Tyne and Wear Metropolitan County,3870,2825,5940,8870
Gateshead,730,525,1160,1825
Newcastle upon Tyne,1125,880,1740,2640
North Tyneside,765,585,1110,1470
South Tyneside,485,315,690,955
Sunderland,765,520,1240,1980
NORTH WEST,35235,26140,56160,89285
Blackburn with Darwen,690,485,1070,1555
Blackpool,490,365,845,1345
Cheshire East,2705,2160,4540,7305
Congleton,585,510,1185,1705
Crewe and Nantwich,670,510,1075,1875
Macclesfield,1450,1140,2280,3725
Cheshire West and Chester,1970,1470,3150,5040
Chester,895,645,1350,2235
Ellesmere Port & Neston,345,265,485,725
Vale Royal,730,560,1315,2080
Halton,485,385,810,1095
Warrington,1220,920,1900,2375
Cumbria County,2480,1815,5245,11840
Allerdale,460,325,1015,2270
Barrow-in-Furness,315,200,550,635
Carlisle,470,345,970,2185
Copeland,415,240,615,1045
Eden,230,220,635,2360
South Lakeland,590,485,1460,3345
Greater Manchester Metropolitan County,14345,10470,20665,29405
Bolton,1245,1025,2070,2875
Bury,1020,775,1520,2130
Manchester,3285,2230,3635,4705
Oldham,830,680,1435,2295
Rochdale,870,680,1385,2200
Salford,1260,910,1730,2545
Stockport,1665,1265,2760,4070
Tameside,845,630,1350,2250
Trafford,2095,1360,2775,3395
Wigan,1230,915,2005,2940
Lancashire County,5520,4245,9925,17650
Burnley,360,235,600,930
Chorley,550,430,1030,1570
Fylde,425,355,785,1260
Hyndburn,275,230,545,955
Lancaster,520,385,1040,2015
Pendle,370,270,615,1205
Preston,715,515,1115,1910
Ribble Valley,395,320,770,1550
Rossendale,305,280,610,1035
South Ribble,555,410,960,1490
West Lancashire,575,430,940,1885
Wyre,475,385,915,1845
Merseyside Metropolitan County,5330,3825,8010,11675
Knowsley,450,300,660,870
Liverpool,1885,1390,2640,3855
St. Helens,620,415,975,1560
Sefton,1050,780,1775,2665
Wirral,1325,940,1960,2725
YORKSHIRE AND THE HUMBER,23385,18285,39120,69925
East Riding of Yorkshire,1555,1280,3120,6155
"Kingston upon Hull, City of",815,605,1300,2255
North East Lincolnshire,575,430,1050,1820
North Lincolnshire,685,485,1160,2340
York,1035,785,1620,2625
North Yorkshire County,3405,2820,6715,15965
Craven,300,285,730,1885
Hambleton,520,430,1070,2825
Harrogate,1180,945,1955,3960
Richmondshire,245,220,550,1510
Ryedale,325,230,665,2130
Scarborough,395,345,900,2125
Selby,440,365,845,1530
South Yorkshire Metropolitan County,4985,3850,8030,12875
Barnsley,815,600,1480,2150
Doncaster,1125,810,1665,2805
Rotherham,975,750,1475,2305
Sheffield,2070,1690,3410,5615
West Yorkshire Metropolitan County,10330,8030,16125,25890
Bradford,2045,1670,3250,5475
